"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"N1 =: Nhum";"N1 =: N-hum";"N0 V N1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Vsup = garder";"Vsup = rester";"Vsup = tomber";"Exemple"
"56";"+";"+";"-";"<E>";"avoir";"+";"+";"+";"  de";"<E>";"-";"  moins que N";"+";"+";"-";"§a§de moins que N "
"57";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  dans";"le";"+";"  nez";"-";"-";"-";"§a§dans le nez "
"58";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  à";"<E>";"-";"  nourrir";"+";"-";"-";"§a§à nourrir "
"59";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  n-uple";"-";"-";"-";"§a§en n-uple "
"60";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  à";"le";"+";"  oeil";"+";"-";"-";"§a§à l'oeil "
"61";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  jusqu'à";"le";"+";"  os";"-";"-";"-";"§a§jusqu'à l'os "
"62";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  sur";"le";"-";"  paletot";"+";"+";"+";"§a§sur le paletot "
"63";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  plein";"la";"+";"  panse";"-";"-";"-";"§a§plein la panse "
"64";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  dans";"un";"-";"  paquet de bonux";"-";"-";"-";"§a§dans un paquet de bonux "
"65";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  partage";"-";"-";"-";"§a§en partage "
"66";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  sur";"la";"+";"  patate";"+";"+";"-";"§a§sur la patate "
"67";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  dans";"la";"+";"  peau";"+";"-";"-";"§a§dans la peau "
"68";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  à";"la";"-";"  pelle";"-";"-";"-";"§a§à la pelle "
"69";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  en";"la";"-";"  personne de Nhum";"+";"-";"-";"§a§en la personne de Nhum "
"70";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  perspective";"-";"+";"-";"§a§en perspective "
"71";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"les";"+";"  pieds";"+";"-";"-";"§a§aux pieds "
"72";"+";"+";"-";"<E>";"avoir";"+";"+";"+";"  de";"<E>";"-";"  plus que N";"+";"+";"-";"§a§de plus que N "
"73";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  poche";"-";"-";"-";"§a§en poche "
"74";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  plein";"Poss0";"-";"  poches";"+";"-";"-";"§a§plein ses poches "
"75";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  dans";"une";"-";"  pochette surprise";"-";"-";"-";"§a§dans une pochette surprise "
"76";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  sur";"le";"+";"  poil";"-";"-";"+";"§a§sur le poil "
"77";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"le";"+";"  poing";"+";"+";"-";"§a§au poing "
"78";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"bon";"-";"  prix";"-";"-";"-";"§a§à bon prix "
"79";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"le quart du";"-";"  prix";"-";"-";"-";"§a§au quart du prix "
"80";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"moitié";"-";"  prix";"-";"-";"-";"§a§à moitié prix "
"81";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  sur";"le";"+";"  râble";"+";"+";"+";"§a§sur le râble "
"82";"-";"+";"-";"<E>";"avoir";"-";"-";"+";"  sur";"les";"-";"  reins";"-";"-";"-";"§a§sur les reins "
"83";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  de";"<E>";"-";"  reste";"-";"-";"-";"§a§de reste "
"84";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  à";"<E>";"-";"  revendre";"-";"-";"-";"§a§à revendre "
"85";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  pour";"<E>";"-";"  rien";"-";"-";"-";"§a§pour rien "
"86";"+";"-";"+";"n'";"avoir pas";"-";"+";"+";"  pour";"deux";"-";"  ronds";"+";"+";"-";"§n'a pas§pour deux ronds "
"87";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  dans";"le";"+";"  sang";"+";"-";"-";"§a§dans le sang "
"88";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  à";"ne";"-";"  savoir qu'en faire";"+";"+";"-";"§a§à ne sa qu'en fait "
"89";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  à";"ne pas";"-";"  savoir qu'en faire";"+";"+";"-";"§a§à ne pas sa qu'en fait "
"90";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  à";"ne plus";"-";"  savoir qu'en faire";"+";"+";"-";"§a§à ne plus sa qu'en fait "
"91";"-";"+";"-";"<E>";"avoir";"+";"-";"-";"  en";"Poss0";"+";"  sein";"+";"-";"-";"§a§en son sein "
"92";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  à";"le";"-";"  sentiment";"-";"-";"-";"§a§au sentiment "
"93";"+";"-";"+";"n'";"avoir pas";"-";"+";"+";"  pour";"un";"-";"  sou";"+";"+";"-";"§n'a pas§pour un sou "
"94";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  à";"<E>";"-";"  souper";"+";"+";"-";"§a§à souper "
"95";"+";"-";"+";"n'";"avoir pas";"-";"+";"+";"  pour";"deux";"-";"  sous";"+";"+";"-";"§n'a pas§pour deux sous "
"96";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  à";"le";"-";"  téléphone";"-";"+";"-";"§a§au téléphone "
"97";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  plein";"la";"+";"  tête";"+";"-";"-";"§a§plein la tête "
"98";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  à";"le";"-";"  tournant";"-";"-";"-";"§a§au tournant "
"99";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  en";"<E>";"+";"  travers de la gorge";"+";"+";"-";"§a§en travers de la gorge "
"100";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  triple";"-";"-";"-";"§a§en triple "
"101";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  jusqu'à";"le";"-";"  trognon";"-";"-";"-";"§a§jusqu'à le trognon "
"102";"+";"+";"-";"<E>";"avoir";"+";"+";"+";"  de";"<E>";"-";"  trop";"+";"+";"-";"§a§de trop "
"103";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  à";"la";"-";"  usure";"-";"-";"-";"§a§à l'usure "
"104";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  plein";"le";"+";"  ventre";"-";"-";"-";"§a§plein le ventre "

