"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"254";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"bel";"état";"-";"-";"§être§dans un bel état "
"255";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"bon";"état";"-";"-";"§être§dans un bon état "
"256";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bon";"état";"-";"-";"§être§en bon état "
"257";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"excellent";"état";"-";"-";"§être§dans un excellent état "
"258";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"excellent";"état";"-";"-";"§être§en excellent état "
"259";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"mauvais";"état";"-";"-";"§être§dans un mauvais état "
"260";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvais";"état";"-";"-";"§être§en mauvais état "
"261";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"misérable";"état";"-";"-";"§être§dans un misérable état "
"262";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"misérable";"état";"-";"-";"§être§en misérable état "
"263";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"parfait";"état";"-";"-";"§être§dans un parfait état "
"264";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"parfait";"état";"-";"-";"§être§en parfait état "
"265";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"pauvre";"état";"-";"-";"§être§dans un pauvre état "
"266";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pauvre";"état";"-";"-";"§être§en pauvre état "
"267";"-";"+";"-";"-";"-";"<E>";"être";"dans";"un";"piètre";"état";"-";"-";"§être§dans un piètre état "
"268";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"piètre";"état";"-";"-";"§être§en piètre état "
"269";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"piteux";"état";"-";"-";"§être§dans un piteux état "
"270";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"piteux";"état";"-";"-";"§être§en piteux état "
"271";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"état";"-";"-";"§être§dans un sacré état "
"272";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sale";"état";"-";"-";"§être§en sale état "
"273";"+";"+";"-";"-";"-";"<E>";"être";"dans";"un";"triste";"état";"-";"-";"§être§dans un triste état "
"274";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"triste";"état";"-";"-";"§être§en triste état "
"275";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"études";"-";"-";"§être§à mi-études "
"276";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"belle";"excitation";"-";"-";"§être§dans une belle excitation "
"277";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"excitation";"-";"-";"§être§en pleine excitation "
"278";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"excitation";"-";"-";"§être§dans une sacrée excitation "
"279";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"exemplaire";"-";"-";"§être§en double exemplaire "
"280";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"n-uple";"exemplaire";"-";"-";"§être§en n-uple exemplaire "
"281";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"quadruple";"exemplaire";"-";"-";"§être§en quadruple exemplaire "
"282";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"simple";"exemplaire";"-";"-";"§être§en simple exemplaire "
"283";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"triple";"exemplaire";"-";"-";"§être§en triple exemplaire "
"284";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"exercice";"-";"-";"§être§à mi-exercice "
"285";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"basse";"extraction";"-";"-";"§être§de basse extraction "
"286";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"noble";"extraction";"-";"-";"§être§en noble extraction "
"287";"+";"-";"-";"-";"-";"<E>";"être";"à";"la";"dernière";"extrémité";"-";"-";"§être§à la dernière extrémité "
"288";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"en";"face";"-";"-";"§être§d'en face "
"289";"+";"-";"-";"-";"-";"<E>";"être";"sans";"<E>";"rien";"faire";"-";"-";"§être§sans rien fait "
"290";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"famille";"-";"-";"§être§de bonne famille "
"291";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"farce";"-";"-";"§être§en pleine farce "
"292";"+";"-";"-";"-";"-";"<E>";"être";"comme";"<E>";"il";"faut";"-";"-";"§être§comme il faut "
"293";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"félicité";"-";"-";"§être§en pleine félicité "
"294";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"femme";"-";"-";"§être§à sa Dnum-ième femme "
"295";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"fenaison";"-";"-";"§être§en pleine fenaison "
"296";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"fenêtre";"-";"-";"§être§à double fenêtre "
"297";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"février";"-";"-";"§être§à la mi-février "
"298";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"pure";"fiction";"-";"-";"§être§de pure fiction "
"299";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"contre-";"fil";"-";"-";"§être§à contre-fil "
"300";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pur";"fil";"-";"-";"§être§en pur fil "
"301";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"bonne";"file";"-";"+";"§être§dans la bonne file "
"302";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"bonne";"file";"-";"+";"§être§sur la bonne file "
"303";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"double";"file";"-";"-";"§être§en double file "
"304";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"mauvaise";"file";"-";"+";"§être§dans la mauvaise file "
"305";"+";"+";"-";"-";"-";"<E>";"être";"sur";"la";"mauvaise";"file";"-";"+";"§être§sur la mauvaise file "
"306";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"simple";"file";"-";"-";"§être§en simple file "
"307";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"triple";"file";"-";"-";"§être§en triple file "
"308";"-";"+";"-";"-";"-";"<E>";"être";"à";"n'en";"plus";"finir";"-";"-";"§être§à n'en plus finir "
"309";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"foi";"-";"-";"§être§de bonne foi "
"310";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"mauvaise";"foi";"-";"-";"§être§de mauvaise foi "
"311";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"fond";"-";"-";"§être§à double fond "
"312";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"triple";"fond";"-";"-";"§être§à triple fond "
"313";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"forêt";"-";"+";"§être§en pleine forêt "
"314";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"forme";"-";"-";"§être§en bonne forme "
"315";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne et due";"forme";"-";"-";"§être§en bonne et due forme "
"316";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"grande";"forme";"+";"-";"§être§en grande forme "
"317";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"petite";"forme";"+";"-";"§être§en petite forme "
"318";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"pure";"forme";"-";"-";"§être§de pure forme "
"319";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"super";"forme";"-";"-";"§être§en super forme "
"320";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"fortune";"-";"-";"§être§en bonne fortune "
"321";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"basse";"fréquence";"-";"-";"§être§à basse fréquence "
"322";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"haute";"fréquence";"-";"-";"§être§à haute fréquence "
"323";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"moyenne";"fréquence";"-";"-";"§être§à moyenne fréquence "
"324";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"froid";"-";"-";"§être§en plein froid "
"325";"-";"+";"-";"-";"-";"<E>";"être";"à";"Poss0";"Dnum-ième";"fuite";"-";"-";"§être§à sa Dnum-ième fuite "
"326";"+";"-";"-";"-";"-";"<E>";"être";"chez";"les";"non";"fumeurs";"-";"-";"§être§chez les non fumeurs "
"327";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"gâchis";"-";"-";"§être§en plein gâchis "
"328";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"galère";"-";"-";"§être§dans une sacrée galère "
"329";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"avant-";"garde";"-";"-";"§être§d'avant-garde "
"330";"+";"+";"-";"-";"-";"<E>";"être";"sous";"<E>";"bonne";"garde";"-";"-";"§être§sous bonne garde "
"331";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"gloire";"-";"-";"§être§en pleine gloire "
"332";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bon";"goût";"-";"-";"§être§de bon goût "
"333";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"mauvais";"goût";"-";"-";"§être§du plus mauvais goût "
"334";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"mauvaise";"goût";"-";"-";"§être§de mauvaise goût "
"335";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"grandeur";"-";"-";"§être§de première grandeur "
"336";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"vraie";"grandeur";"-";"-";"§être§en vraie grandeur "
"337";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"guêpier";"-";"-";"§être§dans un sacré guêpier "
"338";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"bonne";"guerre";"-";"-";"§être§de bonne guerre "
"339";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"longue";"haleine";"-";"-";"§être§de longue haleine "
"340";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"forte";"hausse";"-";"-";"§être§en forte hausse "
"341";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"légère";"hausse";"-";"-";"§être§en légère hausse "
"342";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"en";"haut";"-";"-";"§être§d'en haut "
"343";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"hauteur";"-";"+";"§être§à la bonne hauteur "
"344";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"hauteur";"-";"-";"§être§à mi-hauteur "
"345";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"hauteur";"-";"-";"§être§à la mi-hauteur "
"346";"-";"+";"-";"-";"-";"<E>";"être";"à";"les";"fines";"herbes";"-";"-";"§être§aux fines herbes "
"347";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"dernière";"heure";"-";"-";"§être§à sa dernière heure "
"348";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"dernière";"heure";"-";"-";"§être§dans s dernière heure "
"349";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"dernière";"heure";"-";"-";"§être§de dernière heure "
"350";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"dernière";"heure";"-";"-";"§être§de la dernière heure "
"351";"+";"+";"-";"-";"-";"<E>";"être";"sur";"les";"Dnum";"heures";"-";"-";"§être§sur les Dnum heures "
"352";"+";"+";"-";"-";"-";"<E>";"être";"vers";"les";"Dnum";"heures";"-";"-";"§être§vers les Dnum heures "
"353";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"avant-";"hier";"-";"-";"§être§d'avant-hier "
"354";"-";"+";"+";"-";"-";"<E>";"être";"pour";"<E>";"avant-";"hier";"-";"-";"§être§pour avant-hier "
"355";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"humeur";"-";"-";"§être§de bonne humeur "
"356";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"mauvaise";"humeur";"-";"-";"§être§de mauvaise humeur "
"357";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"par";"ici";"-";"-";"§être§de par ici "
"358";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"illégalité";"-";"-";"§être§en pleine illégalité "
"359";"+";"+";"+";"-";"-";"<E>";"être";"sans";"<E>";"aucune";"illusion";"+";"-";"§être§sans aucune illusion "
"360";"+";"+";"+";"-";"-";"<E>";"être";"sans";"la";"moindre";"illusion";"+";"-";"§être§sans la moindre illusion "
"361";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"illusion";"-";"-";"§être§en pleine illusion "
"362";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"dernière";"importance";"-";"-";"§être§de la dernière importance "
"363";"-";"+";"+";"-";"-";"<E>";"être";"de";"la plus";"haute";"importance";"-";"-";"§être§de la plus haute importance "
"364";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"moindre";"importance";"-";"-";"§être§de moindre importance "
"365";"-";"+";"+";"-";"-";"<E>";"être";"de";"une";"moindre";"importance";"-";"-";"§être§d'une moindre importance "
"366";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"piètre";"importance";"-";"-";"§être§de piètre importance "
"367";"-";"+";"+";"-";"-";"<E>";"être";"de";"une";"piètre";"importance";"-";"-";"§être§d'une piètre importance "
"368";"-";"+";"+";"-";"-";"<E>";"être";"de";"<E>";"première";"importance";"-";"-";"§être§de première importance "
"369";"-";"+";"+";"-";"-";"<E>";"être";"de";"la";"première";"importance";"-";"-";"§être§de la première importance "
"370";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"bonne";"impression";"-";"-";"§être§sur une bonne impression "
"371";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"excellente";"impression";"-";"-";"§être§sur une excellente impression "
"372";"+";"-";"-";"-";"-";"<E>";"être";"sur";"une";"mauvaise";"impression";"-";"-";"§être§sur une mauvaise impression "
"373";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"première";"impression";"-";"-";"§être§sur sa première impression "
"374";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"incertitude";"-";"-";"§être§en pleine incertitude "
"375";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"haut";"intérêt";"-";"-";"§être§du plus haut intérêt "
"376";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"janvier";"-";"-";"§être§à la mi-janvier "
"377";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"jeunesse";"-";"-";"§être§en pleine jeunesse "
"378";"+";"+";"-";"-";"+";"n'";"être plus";"dans";"Poss0";"première";"jeunesse";"-";"-";"§n'est plus§dans sa première jeunesse "
"379";"+";"+";"-";"-";"+";"n'";"être plus";"de";"<E>";"première";"jeunesse";"-";"-";"§n'est plus§de première jeunesse "
"380";"+";"+";"-";"-";"+";"n'";"être plus";"de";"la";"première";"jeunesse";"-";"-";"§n'est plus§de la première jeunesse "
"381";"+";"+";"-";"-";"+";"n'";"être plus";"dans";"Poss0";"prime";"jeunesse";"-";"-";"§n'est plus§dans sa prime jeunesse "
"382";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"jeux";"-";"-";"§être§en Dnum jeux "
"383";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"jouissance";"-";"-";"§être§en pleine jouissance "
"384";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"jouissance";"-";"-";"§être§dans une sacrée jouissance "
"385";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"bon";"jour";"-";"-";"§être§dans un bon jour "
"386";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"contre-";"jour";"-";"-";"§être§à contre-jour "
"387";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"contre-";"jour";"+";"-";"§être§en contre-jour "
"388";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"mauvais";"jour";"-";"-";"§être§dans un mauvais jour "
"389";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"jour";"-";"-";"§être§en plein jour "
"390";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"journée";"-";"-";"§être§en pleine journée "
"391";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un de Poss0";"bons";"jours";"-";"-";"§être§dans un de ses bons jours "
"392";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un de Poss0";"mauvais";"jours";"-";"-";"§être§dans un de ses mauvais jours "
"393";"+";"-";"-";"-";"-";"<E>";"être";"sur";"Poss0";"vieux";"jours";"-";"-";"§être§sur ses vieux jours "
"394";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"jubilation";"-";"-";"§être§en pleine jubilation "
"395";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"jubilation";"-";"-";"§être§dans une sacrée jubilation "
"396";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"juillet";"-";"-";"§être§à la mi-juillet "
"397";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"juin";"-";"-";"§être§à la mi-juin "
"398";"+";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"par";"là";"-";"-";"§être§de par là "
"399";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pure";"laine";"-";"-";"§être§en pure laine "
"400";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"grand";"large";"+";"-";"§être§au grand large "
"401";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"largeur";"-";"-";"§être§à la bonne largeur "
"402";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"légalité";"-";"-";"§être§en pleine légalité "
"403";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"légitimité";"-";"-";"§être§en pleine légitimité "
"404";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"grosses";"lettres";"-";"-";"§être§en grosses lettres "
"405";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petites";"lettres";"-";"-";"§être§en petites lettres "
"406";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"demi-";"liberté";"-";"-";"§être§en demi-liberté "
"407";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"semi-";"liberté";"-";"-";"§être§en semi-liberté "
"408";"-";"+";"-";"-";"-";"<E>";"être";"dans";"toutes les";"bonnes";"librairies";"-";"-";"§être§dans toutes les bonnes librairies "
"409";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"haut";"lignage";"-";"-";"§être§d'haut lignage "
"410";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"première";"ligne";"-";"-";"§être§en première ligne "
"411";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pur";"lin";"-";"-";"§être§en pur lin "
"412";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"premier";"lit";"-";"-";"§être§du premier lit "
"413";"+";"-";"-";"-";"-";"<E>";"être";"de";"un";"premier";"lit";"-";"-";"§être§d'un premier lit "
"414";"+";"-";"-";"-";"-";"<E>";"être";"de";"un";"premier";"lit";"-";"-";"§être§d'un premier lit "
"415";"+";"-";"-";"-";"-";"<E>";"être";"de";"le";"second";"lit";"-";"-";"§être§du second lit "
"416";"+";"-";"-";"-";"-";"<E>";"être";"de";"un";"second";"lit";"-";"-";"§être§d'un second lit "
"417";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"location";"-";"-";"§être§en sous-location "
"418";"-";"+";"-";"-";"-";"<E>";"être";"à";"la";"bonne";"longueur";"-";"-";"§être§à la bonne longueur "
"419";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"lumière";"-";"-";"§être§en pleine lumière "
"420";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"mai";"-";"-";"§être§à la mi-mai "
"421";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"deuxième";"main";"-";"-";"§être§de deuxième main "
"422";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"longue";"main";"-";"-";"§être§de longue main "
"423";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"main";"-";"-";"§être§de première main "
"424";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"seconde";"main";"-";"-";"§être§de seconde main "
"425";"+";"+";"-";"-";"-";"<E>";"être";"dans";"de";"bonnes";"mains";"-";"-";"§être§dans de bonnes mains "
"426";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"bonnes";"mains";"-";"-";"§être§en bonnes mains "
"427";"+";"+";"-";"-";"-";"<E>";"être";"en";"de";"bonnes";"mains";"-";"-";"§être§en de bonnes mains "
"428";"-";"+";"-";"-";"-";"<E>";"être";"dans";"toutes les";"bonnes";"maisons";"-";"-";"§être§dans toutes les bonnes maisons "
"429";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"plus";"mal";"-";"-";"§être§au plus mal "
"430";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"malchance";"-";"-";"§être§en pleine malchance "
"431";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"manches";"-";"-";"§être§en Dnum manches "
"432";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"mandat";"-";"-";"§être§à mi-mandat "
"433";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"beau";"marasme";"-";"-";"§être§dans un beau marasme "
"434";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"marasme";"-";"-";"§être§en plein marasme "
"435";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"marasme";"-";"-";"§être§dans un sacré marasme "
"436";"+";"+";"-";"-";"-";"<E>";"être";"à";"les";"grandes";"marées";"-";"-";"§être§aux grandes marées "
"437";"+";"-";"-";"-";"-";"<E>";"être";"de";"un";"premier";"mariage";"-";"-";"§être§d'un premier mariage "
"438";"+";"+";"-";"-";"-";"<E>";"être";"à";"la";"mi-";"mars";"-";"-";"§être§à la mi-mars "
"439";"+";"-";"-";"-";"-";"<E>";"être";"à";"<E>";"mi-";"match";"-";"-";"§être§à mi-match "
"440";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"maturité";"-";"-";"§être§en pleine maturité "
"441";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"mélasse";"-";"-";"§être§dans une sacrée mélasse "
"442";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"haute";"mer";"-";"-";"§être§en haute mer "
"443";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"merde";"-";"-";"§être§en pleine merde "
"444";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"merde";"-";"-";"§être§dans une sacrée merde "
"445";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"beau";"merdier";"-";"-";"§être§dans un beau merdier "
"446";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"merdier";"-";"-";"§être§en plein merdier "
"447";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"merdier";"-";"-";"§être§dans un sacré merdier "
"448";"+";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"contre-";"mesure";"-";"-";"§être§à contre-mesure "
"449";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"midi";"-";"-";"§être§en plein midi "
"450";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"dernière";"minute";"-";"-";"§être§de dernière minute "
"451";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"dernière";"minute";"-";"-";"§être§de la dernière minute "
"452";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"misère";"-";"-";"§être§en pleine misère "
"453";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"misère";"-";"-";"§être§dans une sacrée misère "
"454";"+";"-";"-";"-";"-";"<E>";"être";"à";"Poss0";"dernière";"mois";"-";"-";"§être§à son dernière mois "
"455";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"dernière";"mois";"-";"-";"§être§dans son dernière mois "
"456";"+";"-";"-";"-";"-";"<E>";"être";"dans";"Poss0";"Dnum-ième";"mois";"-";"-";"§être§dans son Dnum-ième mois "
"457";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"autre";"monde";"-";"-";"§être§dans un autre monde "
"458";"-";"+";"+";"-";"-";"<E>";"être";"de";"le";"meilleur";"monde";"-";"-";"§être§du meilleur monde "
"459";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"menue";"monnaie";"+";"-";"§être§en menue monnaie "
"460";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petite";"monnaie";"+";"-";"§être§en petite monnaie "
"461";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"haute";"montagne";"-";"+";"§être§en haute montagne "
"462";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"montagne";"-";"+";"§être§en pleine montagne "
"463";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"petits";"morceaux";"-";"-";"§être§en petits morceaux "
"464";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"mouise";"-";"-";"§être§en pleine mouise "
"465";"+";"-";"-";"-";"-";"<E>";"être";"dans";"une";"sacrée";"mouise";"-";"-";"§être§dans une sacrée mouise "
"466";"+";"+";"-";"-";"-";"<E>";"être";"dans";"la";"bonne";"moyenne";"-";"-";"§être§dans la bonne moyenne "
"467";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"mystère";"-";"-";"§être§en plein mystère "
"468";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"mystification";"-";"-";"§être§en pleine mystification "
"469";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"haute";"naissance";"-";"-";"§être§d'haute naissance "
"470";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"humble";"naissance";"-";"-";"§être§d'humble naissance "
"471";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"nature";"-";"+";"§être§en pleine nature "
"472";"-";"+";"-";"-";"-";"<E>";"être";"à";"le";"bon";"Ndimension";"-";"-";"§être§au bon Ndimension "
"473";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"Dnum";"N-divisions";"-";"-";"§être§en Dnum N-divisions "
"474";"-";"+";"-";"-";"-";"<E>";"être";"de";"la";"dernière";"nécessité";"-";"-";"§être§de la dernière nécessité "
"475";"-";"+";"-";"-";"-";"<E>";"être";"de";"<E>";"première";"nécessité";"-";"-";"§être§de première nécessité "
