"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>Adj1";"<ENT>C1";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"93";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"cirage";"-";"-";"§être§en plein cirage "
"94";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"cirage";"-";"-";"§être§dans un sacré cirage "
"95";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"deuxième";"classe";"-";"+";"§être§en deuxième classe "
"96";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"première";"classe";"-";"+";"§être§en première classe "
"97";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"seconde";"classe";"-";"+";"§être§en seconde classe "
"98";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"troisième";"classe";"-";"+";"§être§en troisième classe "
"99";"-";"+";"-";"-";"-";"<E>";"être";"à";"<E>";"double";"cloison";"-";"-";"§être§à double cloison "
"100";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"pleine";"cogitation";"-";"-";"§être§en pleine cogitation "
"101";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"petit";"coin";"-";"+";"§être§au petit coin "
"102";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"beau";"coltar";"-";"-";"§être§dans un beau coltar "
"103";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"plein";"coltar";"-";"-";"§être§en plein coltar "
"104";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"sacré";"coltar";"-";"-";"§être§dans un sacré coltar "
"105";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"demi-";"coma";"-";"-";"§être§dans un demi-coma "
"106";"+";"-";"-";"-";"-";"<E>";"être";"dans";"un";"semi-";"coma";"-";"-";"§être§dans un semi-coma "
"107";"-";"+";"+";"-";"-";"<E>";"être";"de";"le plus";"haut";"comique";"-";"-";"§être§du plus haut comique "
"108";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"petit";"comité";"-";"-";"§être§en petit comité "
"109";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"sous-";"commission";"-";"-";"§être§en sous-commission "
"110";"+";"-";"-";"-";"-";"<E>";"être";"de";"<E>";"bonne";"compagnie";"-";"-";"§être§de bonne compagnie "
"111";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"bonne";"compagnie";"-";"-";"§être§en bonne compagnie "
"112";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"galante";"compagnie";"-";"-";"§être§en galante compagnie "
"113";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"joyeuse";"compagnie";"-";"-";"§être§en joyeuse compagnie "
"114";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"mauvaise";"compagnie";"-";"-";"§être§en mauvaise compagnie "
