"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"264";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"garçon";"-";"+";"§être§un de garçon "
"265";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"garçonnet";"-";"+";"§être§un de garçonnet "
"266";"+";"-";"-";"<E>";" être";"<E>";"de";"<E>";"garde";"-";"+";"§être§de garde "
"267";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"gauche";"-";"+";"§être§de gauche "
"268";"+";"+";"-";"<E>";" être";"un";"de";"Dnum-ième";"génération";"-";"+";"§être§un de Dnum-ième génération "
"269";"+";"+";"-";"<E>";" être";"un";"de";"première";"génération";"-";"+";"§être§un de première génération "
"270";"+";"+";"-";"<E>";" être";"un";"de";"nouvel";"génération";"-";"+";"§être§un de nouvel génération "
"271";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"génie";"-";"+";"§être§un de génie "
"272";"+";"-";"-";"<E>";" être";"Dnum-ième";"de";"<E>";"genre";"-";"+";"§être§Dnum-ième de genre "
"273";"+";"-";"-";"<E>";" être";"Dnum-ième et dernier";"de";"<E>";"genre";"-";"+";"§être§Dnum-ième et dernier de genre "
"274";"+";"-";"-";"<E>";" être";"premier et  dernier";"de";"<E>";"genre";"-";"+";"§être§premier et dernier de genre "
"275";"+";"+";"-";"<E>";" être";"un";"en";"tout";"genre";"-";"+";"§être§un en tout genre "
"276";"+";"+";"-";"<E>";" être";"des";"de";"tout";"genre";"-";"+";"§être§des de tout genre "
"277";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"genre de Nhum";"-";"+";"§être§un de genre de Nhum "
"278";"+";"+";"-";"<E>";" être";"un";"en";"tous";"genres";"-";"+";"§être§un en tous genres "
"279";"+";"-";"-";"<E>";" être";"un";"à";"la";"gomme";"-";"+";"§être§un à la gomme "
"280";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"goût";"-";"+";"§être§un de goût "
"281";"+";"-";"-";"<E>";" être";"s";"qui nous";"<E>";"gouvernent";"-";"+";"§être§s qui nous gouvernent "
"282";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"grand";"+";"-";"§être§un grand "
"283";"+";"+";"-";"<E>";" être";"un";"<E>";"beau";"grand";"+";"-";"§être§un beau grand "
"284";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"grand";"-";"+";"§être§un en grand "
"285";"-";"+";"-";"<E>";" être";"un";"en";"moins";"grand";"-";"+";"§être§un en moins grand "
"286";"-";"+";"-";"<E>";" être";"un";"en";"plus";"grand";"-";"+";"§être§un en plus grand "
"287";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"gros";"+";"-";"§être§un gros "
"288";"+";"+";"-";"<E>";" être";"un";"<E>";"beau";"gros";"+";"-";"§être§un beau gros "
"289";"+";"+";"-";"<E>";" être";"un";"<E>";"bon";"gros";"+";"-";"§être§un bon gros "
"290";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"guillotine";"-";"+";"§être§un guillotine "
"291";"-";"+";"-";"<E>";" être";"<E>";"de";"<E>";"haut";"-";"+";"§être§d'haut "
"292";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"herbe";"-";"+";"§être§un en herbe "
"293";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"heure";"-";"+";"§être§d'heure "
"294";"+";"+";"-";"<E>";" être";"un";"avant";"<E>";"heure";"-";"+";"§être§un avant heure "
"295";"-";"+";"-";"<E>";" être";"un";"de";"dernière";"heure";"-";"+";"§être§un de dernière heure "
"296";"+";"+";"-";"<E>";" être";"un";"de";"la dernière";"heure";"-";"+";"§être§un de la dernière heure "
"297";"+";"-";"-";"<E>";" être";"un";"de";"la deuxième";"heure";"-";"+";"§être§un de la deuxième heure "
"298";"+";"+";"-";"<E>";" être";"un";"de";"la onzième";"heure";"-";"+";"§être§un de l'onzième heure "
"299";"+";"+";"-";"<E>";" être";"un";"de";"la première";"heure";"-";"+";"§être§un de la première heure "
"300";"+";"+";"-";"<E>";" être";"un";"de";"toutes les";"heures";"-";"+";"§être§un de toutes les heures "
"301";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"hier";"-";"+";"§être§un d'hier "
"302";"+";"+";"-";"<E>";" être";"un";"de";"avant-";"hier";"-";"+";"§être§un d'avant-hier "
"303";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"homme";"-";"+";"§être§un d'homme "
"304";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"honneur";"-";"+";"§être§un d'honneur "
"305";"+";"-";"-";"<E>";" être";"un";"qui";"se";"ignorer";"-";"+";"§être§un qui se ignorer "
"306";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"images";"+";"-";"§être§un en images "
"307";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"impénitent";"-";"+";"§être§un impénitent "
"308";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"incarné";"-";"+";"§être§un incarné "
"309";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"indiqué";"-";"+";"§être§un indiqué "
"310";"+";"+";"-";"<E>";" être";"un";"<E>";"sus-";"indiqué";"-";"+";"§être§un sus-indiqué "
"311";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"inévitable";"+";"+";"§être§inévitable"
"312";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"initial";"-";"+";"§être§initial "
"313";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"instant";"-";"+";"§être§d'instant "
"314";"+";"+";"-";"<E>";" être";"<E>";"de";"un";"instant";"-";"+";"§être§d'un instant "
"315";"+";"+";"-";"<E>";" être";"un";"de";"tous les";"instants";"-";"+";"§être§un de tous les instants "
"316";"+";"-";"-";"<E>";" être";"<E>";"de";"<E>";"intérieur";"+";"-";"§être§d'intérieur "
"317";"+";"-";"-";"<E>";" être";"un";"par";"<E>";"interim";"-";"+";"§être§un par interim "
"318";"+";"-";"-";"<E>";" être";"un";"par";"<E>";"intérim";"-";"+";"§être§un par intérim "
"319";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"intermédiaire";"-";"+";"§être§intermédiaire "
"320";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"invétéré";"-";"+";"§être§un invétéré "
"321";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"jadis";"-";"+";"§être§un de jadis "
"322";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"jardin";"-";"+";"§être§un de jardin "
"323";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"jeunesse";"-";"+";"§être§un de jeunesse "
"324";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"joli";"+";"-";"§être§un joli "
"325";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"joli petit";"+";"-";"§être§un joli petit "
"326";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"jour";"-";"+";"§être§de jour "
"327";"+";"+";"-";"<E>";" être";"<E>";"de";"un";"jour";"-";"+";"§être§d'un jour "
"328";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"jour";"-";"+";"§être§un de jour "
"329";"-";"+";"-";"<E>";" être";"un";"de";"tous les";"jours";"-";"+";"§être§un de tous les jours "
"330";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"justice";"-";"+";"§être§un de justice "
"331";"-";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"ladite";"+";"-";"§être§ladite "
"332";"+";"-";"-";"<E>";" être";"un";"<E>";"mal";"léché";"-";"+";"§être§un mal léché "
"333";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"limite";"-";"+";"§être§un limite "
"334";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"Louis XIV";"-";"+";"§être§un Louis XIV "
"335";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"Louis XV";"-";"+";"§être§un Louis XV "
"336";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"Louis XVI";"-";"+";"§être§un Louis XVI "
"337";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"maintenant";"-";"+";"§être§un de maintenant "
"338";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"maison";"-";"+";"§être§un maison "
"339";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"maison !";"-";"+";"§être§un maison! "
"340";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"maître";"-";"+";"§être§un de maître "
"341";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"maître";"+";"-";"§être§un maître "
"342";"+";"-";"-";"<E>";" être";"une";"<E>";"<E>";"maîtresse";"+";"-";"§être§une maîtresse "
"343";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"malheur";"-";"+";"§être§un de malheur "
"344";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"malheureux";"+";"-";"§être§un malheureux "
"345";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"malheureux petit";"+";"-";"§être§un malheureux petit "
"346";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"mammouth";"-";"+";"§être§un mammouth "
"347";"+";"+";"-";"<E>";" être";"un";"à";"la";"manque";"-";"+";"§être§un à la manque "
"348";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"marathon";"-";"+";"§être§un marathon "
"349";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"marque";"-";"+";"§être§un de marque "
"350";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"marque";"-";"+";"§être§un de marque "
"351";"+";"-";"-";"<E>";" être";"un";"en";"la";"matière";"-";"+";"§être§un en la matière "
"352";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"maudit";"-";"+";"§être§un en maudit "
"353";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"mauvais";"+";"-";"§être§un mauvais "
"354";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"maxi-";"+";"-";"§être§un maxi-"
"355";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"membre";"-";"+";"§être§un membre "
"356";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"même";"-";"+";"§être§même "
"357";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"ménage";"-";"+";"§être§un de ménage "
"358";"+";"+";"-";"<E>";" être";"<E>";"<E>";"sus-";"mentionné";"+";"+";"§être§sus-mentionné "
"359";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"merde";"-";"+";"§être§un de merde "
"360";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"métier";"-";"+";"§être§un de métier "
"361";"+";"-";"-";"<E>";" être";"<E>";"de";"Poss0";"métier";"-";"+";"§être§de son métier "
"362";"+";"+";"-";"<E>";" être";"un";"à";"la";"mie de pain";"-";"+";"§être§un à la mie de pain "
"363";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"mieux";"-";"+";"§être§un en mieux "
"364";"+";"+";"-";"<E>";" être";"un";"entre";"<E>";"mil";"-";"+";"§être§un entre mil "
"365";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"milieu";"-";"+";"§être§de milieu "
"366";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"mince";"+";"-";"§être§un mince "
"367";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"mini-";"+";"-";"§être§un mini-"
"368";"-";"+";"-";"<E>";" être";"un";"de";"dernière";"minute";"-";"+";"§être§un de dernière minute "
"369";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"miracle";"-";"+";"§être§un miracle"
"370";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"miracle petit";"-";"+";"§être§un miracle petit "
"371";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"misérable";"-";"+";"§être§un misérable"
"372";"+";"+";"-";"<E>";" être";"un";"à";"l'ancienne";"mode";"-";"+";"§être§un à l'ancienne mode "
"373";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"modèle";"-";"+";"§être§un modèle"
"374";"+";"-";"-";"<E>";" être";"un";"à";"la";"mode de Bretagne";"-";"+";"§être§un à la mode de Bretagne "
"375";"+";"-";"-";"<E>";" être";"un";"jusqu'à";"la";"moelle";"-";"+";"§être§un jusqu'à la moelle"
"376";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"moins";"-";"+";"§être§un de moins "
"377";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"moins";"-";"+";"§être§un en moins "
"378";"-";"+";"-";"<E>";" être";"un";"de";"six";"mois";"-";"+";"§être§un de six mois "
"379";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"mois";"-";"+";"§être§de mois "
"380";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"mois";"-";"+";"§être§un de mois "
"381";"+";"+";"-";"<E>";" être";"<E>";"à";"<E>";"moitié";"+";"+";"§être§à moitié "
"382";"+";"+";"-";"<E>";" être";"<E>";"de";"<E>";"moment";"-";"+";"§être§de moment "
"383";"+";"+";"-";"<E>";" être";"<E>";"de";"un";"moment";"-";"+";"§être§d'un moment "
"384";"+";"+";"-";"<E>";" être";"un";"de";"tous les";"moments";"-";"+";"§être§un de tous les moments "
"385";"+";"+";"-";"<E>";" être";"s";"de";"<E>";"monde entier";"-";"+";"§être§s de monde entier "
"386";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"monstre";"-";"+";"§être§un monstre "
"387";"+";"+";"-";"<E>";" être";"un";"à";"la";"mord-moi  noeud";"-";"+";"§être§un à la mord-moi noeud "
"388";"+";"+";"-";"<E>";" être";"un";"parmi";"les";"N";"-";"+";"§être§un parmi les N "
"389";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"naissance";"-";"+";"§être§un de naissance "
"390";"+";"-";"-";"<E>";" être";"notre";"<E>";"<E>";"national";"-";"+";"§être§notre national "
"391";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"nature";"-";"+";"§être§un nature "
"392";"+";"-";"-";"<E>";" être";"<E>";"plus";"que";"nature";"-";"+";"§être§plus que nature "
"393";"+";"+";"-";"<E>";" être";"des";"de";"toute";"nature";"-";"+";"§être§des de toute nature "
"394";"+";"-";"-";"<E>";" être";"un";"à";"la";"noix";"-";"+";"§être§un à la noix "
"395";"+";"+";"-";"<E>";" être";"un";"à";"la";"noix de coco";"-";"+";"§être§un à la noix de coco "
"396";"+";"-";"+";"n'";" être que";"<E>";"de";"<E>";"nom";"-";"+";"§n'est que§de nom "
"397";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"nom de N";"-";"+";"§être§un de nom de N "
"398";"+";"-";"-";"<E>";" être";"<E>";"<E>";"sus-";"nommé";"+";"+";"§être§sus-nommé "
"399";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"nommé";"+";"-";"§être§un nommé "
"400";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"nordique";"-";"+";"§être§un nordique "
"401";"-";"+";"-";"<E>";" être";"un";"de";"Dnum";"Ntps";"-";"+";"§être§un de Dnum Ntps "
"402";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"numéro un";"-";"+";"§être§numéro un "
"403";"-";"+";"-";"<E>";" être";"un";"<E>";"des grandes";"occasions";"-";"+";"§être§un des grandes occasions "
"404";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"occidental";"-";"+";"§être§un occidental "
"405";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"oeil averti";"-";"+";"§être§un à oeil averti "
"406";"+";"+";"-";"<E>";" être";"un";"<E>";"de";"opérette";"-";"+";"§être§un d'opérette "
"407";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"ordre";"-";"+";"§être§un d'ordre "
"408";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"oriental";"-";"+";"§être§un oriental "
"409";"+";"+";"-";"<E>";" être";"un";"<E>";"de";"pacotille";"-";"+";"§être§un de pacotille "
"410";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"paix";"-";"+";"§être§un de paix "
"411";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"pantoufles";"-";"+";"§être§un en pantoufles "
"412";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"paros";"-";"+";"§être§un en paros "
"413";"+";"+";"-";"<E>";" être";"<E>";"pour";"une";"part";"-";"+";"§être§pour une part "
"414";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"part entière";"-";"+";"§être§un à part entière "
"415";"+";"+";"-";"<E>";" être";"<E>";"pour";"<E>";"partie";"-";"+";"§être§pour partie "
"416";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"passé";"-";"+";"§être§passé "
"417";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"patenté";"-";"+";"§être§un patenté "
"418";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"pauvre";"+";"-";"§être§un pauvre "
"419";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"pauvre";"+";"-";"§être§un de pauvre "
"420";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"pauvre petit";"+";"-";"§être§un pauvre petit "
"421";"+";"+";"-";"<E>";" être";"un";"de";"tous les";"pays";"-";"+";"§être§un de tous les pays "
"422";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"pépère";"-";"+";"§être§un pépère "
"423";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"père de famille";"-";"+";"§être§un de père de famille "
"424";"-";"+";"-";"<E>";" être";"un";"de";"grande";"personne";"-";"+";"§être§un de grande personne "
"425";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"personnifié";"-";"+";"§être§personnifié "
"426";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"perspective";"-";"+";"§être§un en perspective "
"427";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"petit";"+";"-";"§être§un petit "
"428";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"petit";"+";"-";"§être§un petit "
"429";"+";"+";"-";"<E>";" être";"un";"<E>";"beau";"petit";"+";"-";"§être§un beau petit "
"430";"+";"+";"-";"<E>";" être";"un";"<E>";"bon";"petit";"+";"-";"§être§un bon petit "
"431";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"petit";"-";"+";"§être§un en petit "
"432";"-";"+";"-";"<E>";" être";"un";"en";"plus";"petit";"-";"+";"§être§un en plus petit "
"433";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"peu";"-";"+";"§être§un de peu "
"434";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"phare";"-";"+";"§être§un phare "
"435";"+";"-";"-";"<E>";" être";"un";"à";" petit";"pied";"-";"+";"§être§un à petit pied "
"436";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"piètre";"+";"-";"§être§un piètre "
"437";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"pilote";"-";"+";"§être§un pilote "
"438";"+";"+";"-";"<E>";" être";"<E>";"<E>";"tout";"pin";"+";"+";"§être§tout pin "
"439";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"pirate";"-";"+";"§être§un pirate "
"440";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"pire";"-";"+";"§être§un en pire "
"441";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"place";"-";"+";"§être§un en place "
"442";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"plafond";"-";"+";"§être§un plafond "
"443";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"plancher";"-";"+";"§être§un plancher "
"444";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"plus";"-";"+";"§être§un de plus "
"445";"+";"+";"-";"<E>";" être";"un";"en";"<E>";"plus";"-";"+";"§être§un en plus "
"446";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"poche";"-";"+";"§être§un de poche "
"447";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"poigne";"-";"+";"§être§un à poigne "
"448";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"poigne";"-";"+";"§être§un de poigne "
"449";"+";"+";"-";"<E>";" être";"des";"de";"tout";"poil";"-";"+";"§être§des de tout poil "
"450";"+";"+";"-";"<E>";" être";"<E>";"à";"plus haut";"point";"+";"+";"§être§à plus haut point "
"451";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"pointe";"-";"+";"§être§un de pointe "
"452";"-";"+";"-";"<E>";" être";"un";"de";"basse";"police";"-";"+";"§être§un de basse police "
"453";"+";"+";"-";"<E>";" être";"<E>";"à";"<E>";"possible";"-";"+";"§être§à possible"
"454";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"potentiel";"-";"+";"§être§un potentiel "
"455";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"potiche";"-";"+";"§être§un potiche "
"456";"+";"+";"-";"<E>";" être";"un";"autant";"que N";"pouvoir l'être";"-";"+";"§être§un autant que N pouvoir l'être "
"457";"+";"+";"-";"<E>";" être";"un";"comme";"on";"pouvoir l'être à Dnum ans";"-";"+";"§être§un comme on pouvoir l'être à Dnum ans "
"458";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"précision";"-";"+";"§être§un de précision "
"459";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"précité";"-";"+";"§être§précité "
"460";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"prénommé";"+";"-";"§être§un prénommé "
"461";"+";"-";"-";"<E>";" être";"s";"en";"<E>";"présence";"-";"+";"§être§s en présence "
"462";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"présent";"+";"+";"§être§présent "
"463";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"présent";"-";"+";"§être§présent "
"464";"+";"+";"-";"<E>";" être";"<E>";"<E>";"ici";"présent";"-";"+";"§être§ici présent "
"465";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"présent";"-";"+";"§être§un de présent "
"466";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"prestige";"-";"+";"§être§un de prestige "
"467";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"présumé";"-";"+";"§être§un présumé "
"468";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"prétendu";"+";"-";"§être§un prétendu "
"469";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"principe";"-";"+";"§être§un de principe "
"470";"+";"-";"-";"<E>";" être";"un";"à";"<E>";"principes";"-";"+";"§être§un à principes "
"471";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"principes";"-";"+";"§être§un de principes "
"472";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"prix";"-";"+";"§être§un de prix "
"473";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"pro";"-";"+";"§être§un pro "
"474";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"problèmes";"-";"+";"§être§un à problèmes "
"475";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"profession";"-";"+";"§être§un de profession "
"476";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"professionnel";"-";"+";"§être§un professionnel "
"477";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"profondeur";"-";"+";"§être§un en profondeur "
"478";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"promesse";"-";"+";"§être§un de promesse "
"479";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"propre";"-";"+";"§être§un propre "
"480";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"proprement dit";"-";"+";"§être§un proprement dit "
"481";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"proximité";"-";"+";"§être§un de proximité "
"482";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"puissance";"-";"+";"§être§un en puissance "
"483";"+";"+";"-";"<E>";" être";"un";"autant";"que N";"puisse l'être";"-";"+";"§être§un autant que N puisse l'être "
"484";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"qualité";"-";"+";"§être§un de qualité "
"485";"+";"-";"-";"<E>";" être";"<E>";"ès";"<E>";"qualités";"-";"+";"§être§ès qualités "
"486";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"quasi-";"+";"-";"§être§un quasi-"
"487";"+";"+";"-";"<E>";" être";"<E>";"en";"<E>";"question";"-";"+";"§être§en question "
"488";"-";"+";"-";"<E>";" être";"un";"à";"<E>";"quotidien";"-";"+";"§être§un à quotidien "
"489";"+";"+";"-";"<E>";" être";"un";"à";"<E>";"rabais";"-";"+";"§être§un à rabais "
"490";"+";"-";"-";"<E>";" être";"un";"de";"haut";"rang";"-";"+";"§être§un d'haut rang "
"491";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"rechange";"-";"+";"§être§un de rechange "
"492";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"record";"-";"+";"§être§un record "
"493";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"règle";"-";"+";"§être§un en règle"
"494";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"Régence";"-";"+";"§être§un Régence "
"495";"+";"-";"-";"<E>";" être";"<E>";"<E>";"<E>";"regretté";"+";"-";"§être§regretté "
"496";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"relais";"-";"+";"§être§un relais "
"497";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"remplacement";"-";"+";"§être§un de remplacement "
"498";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"rencontre";"-";"+";"§être§un de rencontre "
"499";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"repère";"-";"+";"§être§un repère "
"500";"+";"-";"+";"n'";" être que";"<E>";"de";"<E>";"réputation";"-";"+";"§n'est que§de réputation "
"501";"+";"+";"-";"<E>";" être";"un";"parmi";"les plus";"réputés";"+";"+";"§être§un parmi les plus réputés "
"502";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"réserve";"-";"+";"§être§un de réserve "
"503";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"réserve";"-";"+";"§être§un de réserve "
"504";"+";"-";"-";"<E>";" être";"un";"<E>";"qui se";"respecte";"-";"+";"§être§un qui se respecte "
"505";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"ressource";"-";"+";"§être§un de ressource "
"506";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"ressources";"-";"+";"§être§un de ressources "
"507";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"rêve";"-";"+";"§être§un de rêve "
"508";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"rêvé";"-";"+";"§être§rêvé "
"509";"+";"+";"-";"<E>";" être";"<E>";"de";"Poss";"rêves";"-";"+";"§être§de Poss rêves "
"510";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"rien";"-";"+";"§être§un de rien "
"511";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"rien du tout";"-";"+";"§être§un de rien du tout "
"512";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"rituel";"+";"+";"§être§rituel "
"513";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"roi";"-";"+";"§être§un roi "
"514";"+";"-";"+";"n'";" être pas";"<E>";"pour";"deux";"ronds";"-";"+";"§n'est pas§pour deux ronds "
"515";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"routine";"-";"+";"§être§un de routine "
"516";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"sa";"+";"-";"§être§un sa "
"517";"+";"+";"+";"n'";" être pas";"un";"<E>";"que je";"sache";"-";"+";"§n'est pas§un que je sache "
"518";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"sacré";"+";"-";"§être§un sacré "
