"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 être Det1 Prépc Detc Cc N1";"N0 être Det1 N1 Prépc Detc Cc";"Exemple"
"81";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"cf";"-";"+";"§être§un cf "
"82";"-";"+";"-";"<E>";" être";"un";"en";"<E>";"chaîne";"-";"+";"§être§un en chaîne "
"83";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chambre";"-";"+";"§être§un de chambre "
"84";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"chambre";"-";"+";"§être§un en chambre "
"85";"-";"+";"-";"<E>";" être";"un";"de";"dernière";"chance";"-";"+";"§être§un de dernière chance "
"86";"-";"+";"-";"<E>";" être";"un";"de";"la dernière";"chance";"-";"+";"§être§un de la dernière chance "
"87";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"charme";"-";"+";"§être§un de charme "
"88";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"charnière";"-";"+";"§être§un charnière "
"89";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chef";"-";"+";"§être§un de chef "
"90";"+";"-";"-";"<E>";" être";"un";"en";"<E>";"chef";"-";"+";"§être§un en chef "
"91";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"chien";"-";"+";"§être§un de chien "
"92";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"choc";"-";"+";"§être§un choc "
"93";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"choc";"-";"+";"§être§un de choc "
"94";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"choix";"-";"+";"§être§un de choix "
"95";"+";"+";"-";"<E>";" être";"un";"de";"peu de";"chose";"-";"+";"§être§un de peu de chose "
"96";"+";"+";"-";"<E>";" être";"un";"en";"toutes";"choses";"-";"+";"§être§un en toutes choses "
"97";"-";"+";"-";"<E>";" être";"une";"<E>";"<E>";"cible";"-";"+";"§être§une cible"
"98";"+";"+";"-";"<E>";" être";"une";"<E>";"<E>";"cible";"-";"+";"§être§une cible"
"99";"+";"+";"-";"<E>";" être";"<E>";"<E>";"<E>";"cité";"-";"+";"§être§cité "
"100";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"classe";"-";"+";"§être§un de classe "
"101";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"classe";"-";"+";"§être§un de classe "
"102";"+";"+";"-";"<E>";" être";"un";"<E>";"<E>";"clé";"-";"+";"§être§un clé "
"103";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"clocher";"-";"+";"§être§un de clocher "
"104";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"coeur";"-";"+";"§être§un de coeur "
"105";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"commerce";"-";"+";"§être§un de commerce "
"106";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"complaisance";"-";"+";"§être§un de complaisance "
"107";"+";"+";"-";"<E>";" être";"un";"à";"la";"con";"-";"+";"§être§un à la con "
"108";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"con";"-";"+";"§être§un de con "
"109";"+";"-";"-";"<E>";" être";"un";"<E>";"<E>";"congénital";"-";"+";"§être§un congénital "
"110";"+";"-";"-";"<E>";" être";"un";"de";"<E>";"connaissance";"-";"+";"§être§un de connaissance "
"111";"+";"-";"-";"<E>";" être";"un";"de";"POSS";"connaissance";"-";"+";"§être§un de POSS connaissance "
"112";"+";"+";"-";"<E>";" être";"un";"parmi";"les plus";"connus";"+";"+";"§être§un parmi les plus connus "
"113";"+";"+";"-";"<E>";" être";"un";"de";"<E>";"conséquence";"-";"+";"§être§un de conséquence "
"114";"-";"+";"-";"<E>";" être";"un";"à";"une";"constante additive près";"-";"-";"§être§un à une constante additive près "
"115";"-";"+";"-";"<E>";" être";"un";"à";"une";"constante multiplicative près";"-";"-";"§être§un à une constante multiplicative près "
"116";"-";"+";"-";"<E>";" être";"un";"à";"une";"constante près";"-";"-";"§être§un à une constante près "
"117";"+";"+";"-";"<E>";" être";"<E>";"d'à";"<E>";"côté";"-";"+";"§être§d'à côté "
"118";"-";"+";"-";"<E>";" être";"un";"de";"<E>";"côté";"-";"+";"§être§un de côté "
"119";"-";"+";"-";"<E>";" être";"un";"<E>";"<E>";"couperet";"-";"+";"§être§un couperet "
"120";"+";"+";"-";"<E>";" être";"un";"<E>";"tout";"court";"-";"+";"§être§un tout court "
"121";"-";"+";"-";"<E>";" être";"une";"<E>";"<E>";"couleur";"-";"+";"§être§une couleur"
"122";"-";"+";"-";"<E>";" être";"une";"de";"<E>";"couleur";"-";"+";"§être§une de couleur"
"123";"+";"-";"-";"<E>";" être";"une";"de";"<E>";"couleur";"-";"+";"§être§une de couleur"
