"<ID>";"<ENT>Il";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"il y avoir = <E>";"N2 =: Qu Pind";"N2 =: Qu Psubj";"N2 =: V0-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"330";"il";"-";"-";"y";"avoir";"<E>";"de la";"tension";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§y avoir§de la tension entre "
"331";"il";"-";"-";"y";"avoir";"<E>";"de la";"tension";"-";"-";"-";"-";"dans";"le";"air";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de la tension dans l'air "
"332";"il";"-";"-";"y";"avoir";"<E>";"du";"tirage";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"-";"-";"-";"-";"il§y avoir§du tirage entre "
"333";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"tortiller";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"+";"+";"-";"il§n'y avoir pas§à tortiller pour "
"334";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"tortiller du cul";"-";"-";"-";"-";"pour";"<E>";"chier droit";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§à tortiller du cul pour chier droit "
"335";"il";"-";"-";"y";"avoir";"<E>";"<E>";"tout";"-";"-";"-";"-";"à";"<E>";"faire";"Loc";"+";"+";"-";"-";"-";"il§y avoir§tout à fait Loc "
"336";"il";"-";"+";"n'y";"avoir";"<E>";"<E>";"trace de N";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir§trace de N Loc "
"337";"il";"-";"-";"y";"avoir";"<E>";"<E>";"travail";"-";"-";"-";"-";"et";"<E>";"travail";"<E>";"-";"-";"-";"-";"-";"il§y avoir§travail et travail "
"338";"il";"-";"+";"n'y";"avoir pas";"<E>";"<E>";"trop";"-";"-";"-";"-";"de";"Dnum";"N";"pour";"-";"-";"-";"+";"+";"il§n'y avoir pas§trop de Dnum N pour "
"339";"il";"-";"-";"y";"avoir";"<E>";"un";"trou";"-";"-";"-";"-";"dans";"la";"caisse";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un trou dans la caisse "
"340";"il";"-";"-";"y";"avoir";"<E>";"un";"trou";"-";"-";"-";"-";"dans";"la";"conversation";"<E>";"-";"-";"-";"-";"-";"il§y avoir§un trou dans la conversation "
"341";"il";"-";"-";"y";"avoir";"<E>";"une part de";"vérité";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§une part de vérité Loc "
"342";"il";"-";"-";"y";"avoir";"<E>";"du";"vilain";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§du vilain Loc "
"343";"il";"-";"-";"y";"avoir";"<E>";"du";"vin";"-";"-";"-";"-";"pour";"tout le";"monde";"<E>";"-";"-";"-";"-";"-";"il§y avoir§du vin pour tout le monde "
"344";"il";"-";"+";"n'y";"avoir pas que";"<E>";"le";"vin";"-";"-";"-";"-";"dans";"la";"vie";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas que§le vin dans la vie "
"345";"il";"-";"-";"y";"avoir";"<E>";"des";"vins";"-";"-";"-";"-";"pour";"tous les";"goûts";"<E>";"-";"-";"-";"-";"-";"il§y avoir§des vins pour tous les goûts "
"346";"il";"-";"+";"n'y";"avoir";"<E>";"une";"virgule";"-";"-";"-";"-";"à";"<E>";"changer";"Loc";"-";"+";"-";"-";"-";"il§n'y avoir§une virgule à changer Loc "
"347";"il";"-";"+";"n'y";"avoir que";"à";"<E>";"voir";"-";"-";"-";"-";"comme";"<E>";"P";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir que§à voir comme P "
"348";"il";"-";"+";"n'y";"avoir que";"à";"<E>";"voir";"-";"-";"-";"-";"comment";"<E>";"P";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir que§à voir comment P "
"349";"il";"-";"+";"n'y";"avoir que";"à";"<E>";"voir";"-";"-";"-";"-";"comme";"il";"pleut";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir que§à voir comme il pleut "
"350";"il";"-";"+";"n'y";"avoir que";"à";"<E>";"voir";"-";"-";"-";"-";"comment";"il";"pleut";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir que§à voir comment il pleut "
"351";"il";"-";"-";"y";"avoir";"<E>";"du";"vrai";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"-";"+";"-";"-";"-";"il§y avoir§du vrai Loc "

