"<ID>";"<ENT>Il";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"il y avoir = <E>";"N2 =: Qu Pind";"N2 =: Qu Psubj";"N2 =: V0-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"230";"il";"-";"-";"y";"avoir";"<E>";"de le";"orage";"-";"-";"-";"-";"dans";"le";"air";"<E>";"-";"-";"-";"-";"-";"il§y avoir§de l'orage dans le air "
"231";"il";"-";"-";"y";"avoir";"<E>";"un";"os";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§un os Loc "
"232";"il";"-";"-";"y";"avoir";"<E>";"une";"paille";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§une paille de cela "
"233";"il";"+";"+";"n'y en";"avoir pas";"<E>";"deux";"pareils";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y en a pas§deux pareils "
"234";"il";"-";"+";"n'y";"avoir que";"<E>";"un";"pas";"-";"-";"-";"-";"à";"<E>";"franchir";"entre";"-";"+";"-";"-";"-";"il§n'y avoir que§un pas à franchir entre "
"235";"il";"-";"+";"n'y";"avoir que";"<E>";"un";"pas";"-";"-";"-";"-";"à";"<E>";"franchir";"pour";"-";"-";"-";"+";"-";"il§n'y avoir que§un pas à franchir pour "
"236";"il";"-";"+";"n'y";"avoir pas";"à";"<E>";"pavoiser";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"+";"+";"-";"il§n'y avoir pas§à pavoiser pour "
"237";"il";"-";"+";"n'y";"avoir pas";"de";"quoi";"pavoiser";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi pavoiser "
"238";"il";"-";"-";"y";"avoir";"<E>";"une";"paye";"-";"-";"-";"-";"de";"<E>";"cela";"<E>";"-";"-";"+";"-";"-";"il§y avoir§une paye de cela "
"239";"il";"-";"-";"y";"avoir";"<E>";"quatre";"pelés";"-";"-";"-";"-";"et";"un";"tondu";"Loc";"+";"+";"-";"-";"-";"il§y avoir§quatre pelés et un tondu Loc "
"240";"il";"-";"+";"n'y";"avoir";"<E>";"<E>";"péril";"-";"-";"-";"-";"en";"la";"demeure";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir§péril en la demeure "
"241";"il";"-";"+";"n'y";"avoir plus";"<E>";"<E>";"personne";"-";"-";"-";"-";"quand";"on a";"besoin";"de";"-";"-";"-";"-";"+";"il§n'y avoir plus§personne quand on a besoin de "
"242";"il";"-";"+";"n'y";"avoir plus";"<E>";"<E>";"personne";"-";"-";"-";"-";"quand";"<E>";"P";"<E>";"-";"-";"-";"-";"+";"il§n'y avoir plus§personne quand P "
"243";"il";"-";"+";"n'y";"avoir";"<E>";"Dind";"personne";"-";"-";"-";"-";"<E>";"qui";"ressembler";"à";"+";"-";"-";"-";"-";"il§n'y avoir§Dind personne qui ressembler à "
"244";"il";"-";"-";"y";"avoir";"<E>";"du";"pétard";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"+";"+";"-";"-";"-";"il§y avoir§du pétard Loc "
"245";"il";"-";"-";"y";"avoir";"<E>";"de la";"peur";"-";"-";"-";"-";"dans";"les";"yeux";"de";"+";"-";"-";"-";"-";"il§y avoir§de la peur dans les yeux de "
"246";"il";"-";"-";"y";"avoir";"<E>";"<E>";"pire";"-";"-";"-";"-";"<E>";"<E>";"<E>";"que";"+";"+";"-";"-";"-";"il§y avoir§pire que "
"247";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"pitié";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"-";"-";"-";"il§n'y avoir pas§de pitié pour "
"248";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"pitié";"-";"-";"-";"-";"pour";"les";"canards boiteux";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de pitié pour les canards boiteux "
"249";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"place";"-";"-";"-";"-";"pour";"<E>";"deux";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§de place pour deux Loc "
"250";"il";"-";"-";"y";"avoir";"<E>";"deux";"poids";"-";"-";"-";"-";"<E>";"deux";"mesures";"Loc";"+";"+";"-";"-";"-";"il§y avoir§deux poids deux mesures Loc "
"251";"il";"-";"-";"y";"avoir";"<E>";"du";"pour";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Loc";"-";"+";"-";"-";"-";"il§y avoir§du pour Loc "
"252";"il";"-";"-";"y";"avoir";"<E>";"du";"pour";"-";"-";"-";"-";"et";"du";"contre";"Loc";"-";"+";"-";"-";"-";"il§y avoir§du pour et du contre Loc "
"253";"il";"-";"-";"y";"avoir";"à";"<E>";"prendre";"-";"-";"-";"-";"et  à";"<E>";"laisser";"Loc";"+";"+";"-";"-";"-";"il§y avoir§à prendre et à laisser Loc "
"254";"il";"-";"-";"y";"avoir";"<E>";"un";"prix";"-";"-";"-";"-";"à";"<E>";"payer";"pour";"-";"+";"-";"+";"+";"il§y avoir§un prix à payer pour "
"255";"il";"-";"+";"n'y";"avoir";"<E>";"aucun";"problème";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"-";"+";"+";"il§n'y avoir§aucun problème pour "
"256";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"problème";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"-";"+";"+";"il§n'y avoir pas§de problème pour "
"257";"il";"-";"+";"n'y";"avoir pas";"<E>";"de petits";"profits";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de petits profits "
"258";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"proportion";"-";"-";"-";"-";"<E>";"<E>";"<E>";"entre";"+";"+";"-";"-";"-";"il§n'y avoir pas§de proportion entre "
"259";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"quartier";"-";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"+";"+";"-";"-";"-";"il§n'y avoir pas§de quartier pour "
"260";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"que";"l'on";" puisse faire pour N";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quelque chose que l'on puisse fait pour N "
"261";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quelque chose à dire "
"262";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"à";"<E>";"faire";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quelque chose à fait "
"263";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose";"-";"-";"-";"-";"<E>";"<E>";"là-dessous !";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quelque chose là-dessous! "
"264";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose ?";"-";"-";"-";"-";"de";"<E>";"neuf";"Loc";"+";"+";"-";"-";"-";"il§y avoir§quelque chose ? de neuf Loc "
"265";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quelque chose ?";"-";"-";"-";"-";"pour";"le";"service";"de";"+";"+";"-";"-";"-";"il§y avoir§quelque chose ? pour le service de "
"266";"il";"-";"+";"n'y";"avoir";"<E>";"<E>";"question";"+";"-";"+";"+";"<E>";"<E>";"<E>";"pour";"+";"+";"-";"-";"-";"il§n'y avoir§question pour "
"267";"il";"-";"+";"n'y";"avoir pas";"<E>";"la";"queue";"-";"-";"-";"-";"de";"un";"N";"Loc";"+";"+";"-";"-";"-";"il§n'y avoir pas§la queue d'un N Loc "
"268";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"quoi";"-";"-";"-";"-";"<E>";"<E>";"faire un drame";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi fait un drame "
"269";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"quoi";"-";"-";"-";"-";"<E>";"<E>";"rire";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi rire "
"270";"il";"-";"-";"y";"avoir";"<E>";"<E>";"quoi ";"-";"-";"-";"-";"pour";"votre";"service ?";"<E>";"-";"-";"-";"-";"-";"il§y avoir§quoi pour votre service ? "
"271";"il";"-";"+";"n'y";"avoir pas";"<E>";"de";"quoi !";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"il§n'y avoir pas§de quoi! "
"272";"il";"-";"+";"n'y";"avoir";"<E>";"de";"raison";"+";"-";"-";"-";"<E>";"<E>";"<E>";"pour";"-";"-";"-";"+";"+";"il§n'y avoir§de raison pour "
"273";"il";"-";"+";"n'y";"avoir";"<E>";"de";"raison";"+";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"+";"+";"il§n'y avoir§de raison "
"274";"il";"-";"+";"n'y";"avoir";"<E>";"de";"raison";"-";"-";"+";"-";"<E>";"<E>";"<E>";"pour";"+";"-";"-";"-";"-";"il§n'y avoir§de raison pour "
"275";"il";"-";"-";"<E>";"avoir";"<E>";"un certain";"rapport";"-";"-";"-";"-";"de";"<E>";"forces";"entre";"+";"+";"-";"-";"-";"il§avoir§un certain rapport de forces entre "
"276";"il";"-";"-";"y";"avoir";"<E>";"<E>";"ras";"-";"-";"-";"-";"<E>";"le";"bol";"<E>";"+";"+";"-";"+";"+";"il§y avoir§ras le bol "
"277";"il";"+";"-";"y en";"avoir";"<E>";"<E>";"ras";"-";"-";"-";"-";"<E>";"le";"bol";"<E>";"+";"+";"-";"+";"+";"il§y en avoir§ras le bol "
