"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"773";"+";"-";"-";"<E>";" prodiguer";"-";"des";" conseils";"+";" à";"+";"-";"+";"-";"-";"+";"§prodiguer§des conseils à "
"774";"+";"-";"-";"<E>";" prodiguer";"-";"des";" soins";"+";" à";"+";"-";"+";"-";"-";"+";"§prodiguer§des soins à "
"775";"+";"+";"-";"<E>";" produire";"-";"un";" effet";"+";" sur";"+";"-";"-";"-";"-";"+";"§produire§un effet sur "
"776";"+";"+";"-";"<E>";" produire";"-";"une";" impression";"+";" sur";"+";"-";"-";"-";"-";"+";"§produire§une impression sur "
"777";"+";"-";"-";"<E>";" proférer";"-";"une";" accusation";"+";" contre";"+";"-";"-";"-";"-";"+";"§proférer§une accusation contre "
"778";"+";"-";"-";"<E>";" proférer";"-";"une";" menace";"+";" contre";"+";"-";"-";"-";"-";"+";"§proférer§une menace contre "
"779";"-";"+";"-";"<E>";" projeter";"-";"une";" ombre";"+";" sur";"+";"+";"-";"-";"+";"+";"§projeter§une ombre sur "
"780";"+";"-";"-";"<E>";" promettre";"-";"un";" chien de Poss0 chienne";"-";" à";"+";"-";"+";"-";"-";"-";"§promettre§un chien de sa chienne à "
"781";"-";"+";"-";"<E>";" promettre";"-";"du";" plaisir";"-";" à";"+";"-";"+";"-";"-";"-";"§promettre§du plaisir à "
"782";"-";"+";"-";"<E>";" promettre";"-";"du bon";" temps";"+";" à";"+";"-";"+";"-";"-";"-";"§promettre§du bon temps à "
"783";"+";"-";"-";"<E>";" prononcer";"-";"des";" paroles définitives";"+";" sur";"+";"+";"-";"-";"-";"+";"§prononcer§des paroles définitives sur "
"784";"+";"-";"-";"<E>";" prononcer";"-";"un";" réquisitoire";"+";" contre";"+";"+";"-";"-";"-";"+";"§prononcer§un réquisitoire contre "
"785";"+";"-";"-";"<E>";" raconter";"-";"des";" histoires";"+";" à";"+";"-";"+";"-";"-";"+";"§raconter§des histoires à "
"786";"-";"+";"-";"<E>";" rappeler";"-";"des";" souvenirs";"+";" à";"+";"-";"+";"-";"-";"-";"§rappeler§des souvenirs à "
"787";"+";"-";"-";"<E>";" ratifier";"-";"une";" convention";"-";" avec";"+";"-";"-";"-";"-";"+";"§ratifier§une convention avec "
"788";"+";"-";"-";"<E>";" ratifier";"-";"un";" traité";"-";" avec";"+";"-";"-";"-";"-";"+";"§ratifier§un traité avec "
"789";"+";"+";"-";"<E>";" recevoir";"-";"un";" abri";"+";" Loc";"+";"+";"-";"+";"-";"-";"§recevoir§un abri Loc "
"790";"+";"-";"-";"<E>";" recevoir";"-";"un";" affront";"+";" de";"+";"-";"-";"-";"-";"-";"§recevoir§un affront de "
"791";"+";"-";"-";"<E>";" recevoir";"-";"des";" apaisements";"-";" de";"+";"-";"-";"-";"-";"-";"§recevoir§des apaisements de "
"792";"+";"-";"-";"<E>";" recevoir";"-";"un";" appel du pied";"-";" de";"+";"-";"-";"-";"-";"+";"§recevoir§un appel du pied de "
"793";"+";"+";"-";"<E>";" recevoir";"-";"un";" asile";"+";" Loc";"+";"+";"-";"+";"-";"-";"§recevoir§un asile Loc "
"794";"+";"-";"-";"<E>";" recevoir";"-";"un";" coup";"+";" de";"+";"-";"-";"-";"-";"-";"§recevoir§un coup de "
"795";"-";"+";"-";"<E>";" recevoir";"-";"une";" leçon";"-";" de";"-";"+";"+";"+";"+";"+";"§recevoir§une leçon de "
"796";"+";"-";"-";"<E>";" recevoir";"-";"des";" nouvelles";"-";" de";"+";"-";"-";"-";"-";"-";"§recevoir§des nouvelles de "
"797";"+";"-";"-";"<E>";" recevoir";"-";"un";" savon";"+";" de";"+";"-";"-";"-";"-";"-";"§recevoir§un savon de "
"798";"+";"-";"-";"<E>";" recevoir";"-";"une";" semonce";"+";" de";"+";"-";"-";"-";"-";"-";"§recevoir§une semonce de "
"799";"+";"-";"-";"<E>";" recevoir";"-";"une";" volée de bois vert";"-";" de";"+";"-";"-";"-";"-";"+";"§recevoir§une volée de bois vert de "
"800";"+";"-";"-";"<E>";" réclamer";"-";"des";" comptes";"+";" à";"+";"-";"+";"-";"-";"+";"§réclamer§des comptes à "
"801";"+";"+";"-";"<E>";" redonner";"-";"du";" lustre";"-";" à";"+";"+";"+";"-";"-";"+";"§redonner§du lustre à "
"802";"-";"+";"-";"<E>";" refaire";"-";"une";" santé";"-";" à";"+";"-";"+";"-";"-";"+";"§refait§une santé à "
"803";"-";"+";"-";"<E>";" refaire";"-";"une";" virginité";"-";" à";"+";"-";"+";"-";"-";"+";"§refait§une virginité à "
"804";"+";"-";"-";"<E>";" refermer";"-";"un";" étau";"-";" sur";"+";"-";"-";"-";"-";"+";"§refermer§un étau sur "
"805";"+";"-";"-";"<E>";" refermer";"-";"une";" grille";"+";" derrière";"+";"-";"-";"-";"-";"+";"§refermer§une grille derrière "
"806";"+";"-";"-";"<E>";" refermer";"-";"une";" grille";"+";" sur";"+";"-";"-";"-";"-";"+";"§refermer§une grille sur "
"807";"+";"-";"-";"<E>";" refermer";"-";"une";" porte";"+";" derrière";"+";"-";"-";"-";"-";"+";"§refermer§une porte derrière "
"808";"+";"-";"-";"<E>";" refermer";"-";"une";" porte";"+";" sur";"+";"-";"-";"-";"-";"+";"§refermer§une porte sur "
"809";"+";"-";"-";"<E>";" refuser";"-";"une";" faveur";"-";" à";"+";"-";"+";"-";"-";"+";"§refuser§une faveur à "
"810";"+";"-";"-";"<E>";" refuser";"-";"un";" sursis";"-";" à";"+";"-";"+";"-";"-";"+";"§refuser§un sursis à "
"811";"+";"+";"-";"<E>";" régler";"-";"un";" différent";"+";" avec";"+";"-";"-";"-";"-";"+";"§régler§un différent avec "
"812";"+";"-";"-";"<E>";" rejeter";"-";"un";" tort";"-";" sur";"+";"+";"-";"-";"-";"+";"§rejeter§un tort sur "
"813";"+";"-";"-";"<E>";" relever";"-";"des";" charges";"-";" contre";"+";"-";"-";"-";"-";"+";"§relever§des charges contre "
"814";"+";"+";"-";"<E>";" remémorer";"-";"un";" souvenir";"-";" à";"+";"-";"+";"-";"-";"+";"§remémorer§un souvenir à "
"815";"+";"-";"-";"<E>";" remettre";"-";"une";" décoration";"-";" à";"+";"-";"+";"-";"-";"+";"§remettre§une décoration à "
"816";"+";"-";"-";"<E>";" remettre";"-";"un";" rapport de conclusions";"+";" à";"+";"-";"+";"-";"-";"+";"§remettre§un rapport de conclusions à "
"817";"-";"+";"-";"<E>";" remplir";"-";"un";" rôle";"+";" Loc";"-";"+";"-";"+";"-";"+";"§remplir§un rôle Loc "
"818";"+";"+";"-";"<E>";" remporter";"-";"un";" avantage";"+";" sur";"+";"-";"-";"-";"-";"+";"§remporter§un avantage sur "
"819";"+";"+";"-";"<E>";" remporter";"-";"un";" succès";"+";" sur";"+";"-";"-";"-";"-";"+";"§remporter§un succès sur "
"820";"+";"+";"-";"<E>";" remporter";"-";"une";" victoire";"+";" sur";"+";"-";"-";"-";"-";"+";"§remporter§une victoire sur "
"821";"+";"+";"-";"<E>";" rencontrer";"-";"un";" écho";"-";" Loc";"+";"+";"-";"+";"-";"+";"§rencontrer§un écho Loc "
"822";"+";"+";"-";"<E>";" rendre";"-";"de la";" bride";"-";" à";"+";"-";"+";"-";"-";"-";"§rendre§de la bride à "
"823";"+";"-";"-";"<E>";" rendre";"-";"des";" comptes";"+";" à";"+";"-";"+";"-";"+";"+";"§rendre§des comptes à "
"824";"+";"-";"-";"<E>";" rendre";"-";"un";" culte";"-";" à";"+";"-";"+";"-";"-";"+";"§rendre§un culte à "
"825";"+";"-";"-";"<E>";" rendre";"-";"de la";" distance";"-";" à";"+";"-";"+";"-";"-";"-";"§rendre§de la distance à "
"826";"+";"-";"-";"<E>";" rendre";"-";"un dernier";" hommage";"-";" à";"+";"-";"+";"-";"-";"+";"§rendre§un dernier hommage à "
"827";"+";"+";"-";"<E>";" rendre";"-";"du";" poids";"-";" à";"+";"-";"+";"-";"-";"-";"§rendre§du poids à "
"828";"+";"-";"-";"<E>";" rendre";"-";"des";" points";"-";" à";"+";"-";"+";"-";"-";"-";"§rendre§des points à "
"829";"+";"+";"-";"<E>";" rendre";"-";"un";" service";"+";" à";"+";"-";"+";"-";"-";"+";"§rendre§un service à "
"830";"+";"+";"-";"<E>";" rendre";"-";"un signalé";" service";"+";" à";"+";"-";"+";"-";"-";"+";"§rendre§un signalé service à "
"831";"+";"+";"-";"<E>";" rendre";"-";"un";" tribut";"-";" à";"+";"+";"+";"-";"-";"+";"§rendre§un tribut à "
"832";"+";"-";"-";"<E>";" reprendre";"-";"du";" terrain";"+";" sur";"+";"-";"-";"-";"-";"+";"§reprendre§du terrain sur "
"833";"+";"-";"-";"<E>";" requérir";"-";"une";" peine";"+";" contre";"+";"-";"-";"-";"-";"+";"§requérir§une peine contre "
"834";"+";"-";"-";"<E>";" réserver";"-";"un certain";" accueil";"-";" à";"+";"+";"+";"-";"-";"+";"§réserver§un certain accueil à "
"835";"+";"-";"-";"<E>";" réserver";"-";"un";" châtiment";"-";" à";"+";"-";"+";"-";"-";"+";"§réserver§un châtiment à "
"836";"+";"-";"-";"<E>";" réserver";"-";"une";" pensée";"-";" à";"+";"-";"+";"-";"-";"+";"§réserver§une pensée à "
"837";"+";"-";"-";"<E>";" réserver";"-";"une";" réception";"-";" à";"+";"+";"+";"-";"-";"+";"§réserver§une réception à "
"838";"+";"-";"-";"<E>";" réserver";"-";"un";" sort";"-";" à";"+";"-";"+";"-";"-";"+";"§réserver§un sort à "
"839";"+";"+";"-";"<E>";" réserver";"-";"une";" surprise";"-";" à";"+";"-";"+";"-";"-";"+";"§réserver§une surprise à "
"840";"+";"-";"-";"<E>";" réserver";"-";"une";" table";"+";" Loc";"+";"+";"-";"+";"-";"+";"§réserver§une table Loc "
"841";"+";"-";"-";"<E>";" réserver";"-";"un certain";" traitement";"-";" à";"+";"+";"+";"-";"-";"+";"§réserver§un certain traitement à "
"842";"+";"+";"-";"<E>";" rétablir";"-";"un certain";" calme";"+";" Loc";"+";"+";"-";"+";"-";"+";"§rétablir§un certain calme Loc "
"843";"+";"+";"-";"<E>";" rétablir";"-";"un";" courant";"-";" entre";"+";"-";"-";"-";"-";"+";"§rétablir§un courant entre "
"844";"+";"-";"-";"<E>";" retenir";"-";"une";" table";"+";" Loc";"+";"+";"-";"+";"-";"+";"§retenir§une table Loc "
"845";"+";"-";"-";"<E>";" retirer";"-";"un";" gain";"-";" de";"-";"+";"-";"+";"-";"+";"§retirer§un gain de "
"846";"+";"+";"-";"<E>";" réveiller";"-";"un";" démon";"+";" en";"+";"-";"-";"-";"-";"+";"§réveiller§un démon en "
"847";"-";"+";"-";"<E>";" réveiller";"-";"des vieux";" démons";"+";" en";"+";"-";"-";"-";"-";"+";"§réveiller§des vieux démons en "
"848";"-";"+";"-";"<E>";" réveiller";"-";"de vieux";" démons";"+";" en";"+";"-";"-";"-";"-";"+";"§réveiller§de vieux démons en "
"849";"+";"+";"-";"<E>";" réveiller";"-";"un";" souvenir";"+";" en";"+";"-";"-";"-";"-";"+";"§réveiller§un souvenir en "
"850";"+";"-";"-";"<E>";" révéler";"-";"un";" secret";"-";" à";"+";"-";"+";"-";"-";"+";"§révéler§un secret à "
"851";"+";"-";"-";"<E>";" risquer";"+";"un";" oeil Adj";"-";" sur";"+";"+";"-";"-";"-";"-";"§risquer§un oeil Adj sur "
"852";"+";"-";"-";"<E>";" risquer";"+";"un";" oeil timide";"-";" sur";"+";"+";"-";"-";"-";"-";"§risquer§un oeil timide sur "
"853";"+";"-";"-";"<E>";" rompre";"-";"des";" lances";"-";" avec";"+";"-";"-";"-";"-";"+";"§rompre§des lances avec "
"854";"+";"-";"-";"<E>";" rouler";"-";"une";" brique";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§une brique à "
"855";"+";"-";"-";"<E>";" rouler";"-";"une";" galoche";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§une galoche à "
"856";"+";"-";"-";"<E>";" rouler";"-";"une";" gamelle";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§une gamelle à "
"857";"+";"-";"-";"<E>";" rouler";"-";"un";" palot";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§un palot à "
"858";"+";"-";"-";"<E>";" rouler";"-";"un";" patin";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§un patin à "
"859";"+";"-";"-";"<E>";" rouler";"-";"une";" pelle";"-";" à";"+";"-";"+";"-";"-";"+";"§rouler§une pelle à "
"860";"+";"+";"-";"<E>";" rouvrir";"-";"de vieilles";" blessures";"+";" en";"+";"-";"-";"-";"-";"+";"§rouvrir§de vieilles blessures en "
"861";"+";"+";"-";"<E>";" rouvrir";"-";"de vieilles";" blessures";"+";" chez";"+";"-";"-";"-";"-";"+";"§rouvrir§de vieilles blessures chez "
"862";"+";"-";"-";"<E>";" saisir";"-";"un";" juge";"+";" de";"-";"+";"-";"+";"-";"+";"§saisir§un juge de "
"863";"+";"-";"-";"<E>";" saisir";"-";"un";" tribunal";"+";" de";"-";"+";"-";"+";"-";"+";"§saisir§un tribunal de "
"864";"+";"-";"-";"<E>";" servir";"-";"une";" rente";"-";" à";"+";"-";"+";"-";"-";"+";"§servir§une rente à "
"865";"+";"-";"-";"<E>";" signer";"-";"un";" chèque";"+";" à";"+";"-";"+";"-";"-";"+";"§signer§un chèque à "
"866";"+";"-";"-";"<E>";" signer";"-";"une";" convention";"-";" avec";"+";"-";"-";"-";"-";"+";"§signer§une convention avec "
"867";"+";"-";"-";"<E>";" signer";"-";"un";" traité";"-";" avec";"+";"-";"-";"-";"-";"+";"§signer§un traité avec "
"868";"+";"-";"-";"<E>";" signifier";"-";"un";" refus";"-";" à";"+";"-";"+";"-";"-";"+";"§signifier§un refus à "
"869";"+";"-";"-";"<E>";" souhaiter";"-";"un prompt";" rétabissement";"-";" à";"+";"-";"+";"-";"-";"+";"§souhaiter§un prompt rétabissement à "
"870";"+";"-";"-";"<E>";" soulever";"-";"une";" critique";"+";" contre";"+";"+";"-";"-";"-";"+";"§soulever§une critique contre "
"871";"+";"-";"-";"<E>";" soulever";"-";"une";" fille";"-";" à";"+";"-";"+";"-";"-";"+";"§soulever§une fille à "
"872";"+";"-";"-";"<E>";" soulever";"-";"une";" objection";"+";" contre";"+";"+";"-";"-";"-";"+";"§soulever§une objection contre "
"873";"+";"-";"-";"<E>";" soulever";"-";"un";" obstacle";"+";" contre";"+";"+";"-";"-";"-";"+";"§soulever§un obstacle contre "
"874";"+";"-";"-";"<E>";" soulever";"-";"une";" protestation";"+";" contre";"+";"+";"-";"-";"-";"+";"§soulever§une protestation contre "
"875";"+";"-";"-";"<E>";" suspendre";"-";"une";" épée de Damoclès";"-";" au dessus de";"+";"-";"-";"-";"-";"+";"§suspendre§une épée de Damoclès au dessus de "
"876";"+";"-";"-";"<E>";" tailler";"-";"une";" bavette";"+";" avec";"+";"-";"-";"-";"-";"-";"§tailler§une bavette avec "
"877";"+";"-";"-";"<E>";" tailler";"-";"un";" costume en sapin";"-";" à";"+";"-";"+";"-";"-";"+";"§tailler§un costume en sapin à "
"878";"+";"-";"-";"<E>";" tailler";"-";"des";" croupières";"-";" à";"+";"-";"+";"-";"-";"+";"§tailler§des croupières à "
"879";"+";"-";"-";"<E>";" tailler";"-";"une";" pignole";"-";" à";"+";"-";"+";"-";"-";"+";"§tailler§une pignole à "
"880";"+";"-";"-";"<E>";" tailler";"-";"une";" pipe";"-";" à";"+";"-";"+";"-";"-";"-";"§tailler§une pipe à "
"881";"+";"+";"-";"<E>";" tailler";"-";"une certaine";" réputation";"-";" à";"+";"-";"+";"-";"-";"+";"§tailler§une certaine réputation à "
"882";"+";"-";"-";"<E>";" taper";"-";"un";" coup";"+";" Loc";"-";"+";"-";"-";"-";"+";"§taper§un coup Loc "
"883";"+";"-";"-";"<E>";" taper";"-";"une";" pignole";"-";" à";"+";"-";"+";"-";"-";"-";"§taper§une pignole à "
"884";"+";"-";"-";"<E>";" tendre";"-";"une";" carotte";"-";" à";"+";"-";"+";"-";"-";"+";"§tendre§une carotte à "
"885";"+";"-";"-";"<E>";" tendre";"-";"une";" embuscade";"+";" à";"+";"-";"+";"-";"-";"+";"§tendre§une embuscade à "
"886";"+";"-";"-";"<E>";" tendre";"-";"un";" guet-apens";"-";" à";"+";"-";"+";"-";"-";"+";"§tendre§un guet-apens à "
"887";"+";"-";"-";"<E>";" tendre";"+";"une";" main amie";"-";" à";"+";"-";"+";"-";"-";"+";"§tendre§une main amie à "
"888";"+";"-";"-";"<E>";" tendre";"+";"une";" main secourable";"-";" à";"+";"-";"+";"-";"-";"+";"§tendre§une main secourable à "
"889";"+";"-";"-";"<E>";" tendre";"-";"un";" piège";"+";" à";"+";"-";"+";"-";"+";"-";"§tendre§un piège à "
"890";"+";"-";"-";"<E>";" tendre";"-";"un";" traquenard";"+";" à";"+";"-";"+";"-";"-";"+";"§tendre§un traquenard à "
"891";"+";"-";"-";"<E>";" tenir";"-";"une";" conférence de presse";"+";" à";"+";"-";"+";"-";"-";"+";"§tenir§une conférence de presse à "
"892";"+";"-";"-";"<E>";" tenir";"-";"une";" conversation";"-";" avec";"+";"-";"-";"-";"-";"-";"§tenir§une conversation avec "
"893";"+";"-";"-";"<E>";" tenir";"-";"des";" discussions";"+";" avec";"+";"-";"-";"-";"-";"+";"§tenir§des discussions avec "
"894";"+";"-";"-";"<E>";" tenir";"-";"un certain";" langage";"+";" à";"+";"-";"+";"-";"-";"+";"§tenir§un certain langage à "
"895";"+";"-";"-";"<E>";" tenir";"-";"certaines";" paroles";"+";" à";"+";"-";"+";"-";"-";"+";"§tenir§certaines paroles à "
"896";"-";"+";"-";"<E>";" tenir";"-";"de la";" place";"+";" Loc";"-";"+";"-";"+";"-";"-";"§tenir§de la place Loc "
"897";"+";"-";"-";"<E>";" tenir";"-";"certains";" propos";"+";" à";"+";"-";"+";"-";"-";"+";"§tenir§certains propos à "
"898";"+";"+";"-";"<E>";" tenir";"-";"un";" rôle";"+";" Loc";"-";"+";"-";"+";"-";"+";"§tenir§un rôle Loc "
"899";"+";"-";"-";"<E>";" tirer";"-";"un";" bon";"-";" sur";"+";"+";"-";"-";"-";"+";"§tirer§un bon sur "
"900";"+";"-";"-";"<E>";" tirer";"-";"un";" chèque";"-";" sur";"+";"+";"-";"-";"-";"+";"§tirer§un chèque sur "
"901";"+";"-";"-";"<E>";" tirer";"-";"une";" chique";"+";" avec";"+";"-";"-";"-";"-";"-";"§tirer§une chique avec "
"902";"+";"-";"-";"<E>";" tirer";"-";"un";" coup";"+";" avec";"+";"-";"-";"-";"-";"+";"§tirer§un coup avec "
"903";"+";"-";"-";"<E>";" tirer";"-";"une";" crampe";"+";" avec";"+";"-";"-";"-";"-";"-";"§tirer§une crampe avec "
"904";"-";"+";"-";"<E>";" tirer";"-";"un";" cri";"-";" de";"+";"-";"+";"-";"-";"+";"§tirer§un cri de "
"905";"+";"-";"-";"<E>";" tirer";"-";"un";" effet";"-";" de";"-";"+";"-";"+";"-";"+";"§tirer§un effet de "
"906";"+";"-";"-";"<E>";" tirer";"-";"un";" enseignement";"-";" de";"-";"+";"-";"+";"-";"+";"§tirer§un enseignement de "
"907";"-";"+";"-";"<E>";" tirer";"-";"un";" gémissement";"-";" de";"+";"-";"+";"-";"-";"+";"§tirer§un gémissement de "
"908";"+";"+";"-";"<E>";" tirer";"-";"des";" larmes";"-";" de";"+";"-";"-";"-";"-";"-";"§tirer§des larmes de "
"909";"-";"+";"-";"<E>";" tirer";"-";"des";" larmes";"-";" de";"+";"-";"+";"-";"-";"+";"§tirer§des larmes de "
"910";"+";"-";"-";"<E>";" tirer";"-";"une";" lettre de change";"-";" sur";"+";"+";"-";"-";"-";"+";"§tirer§une lettre de change sur "
"911";"+";"-";"-";"<E>";" tirer";"-";"un";" maximum";"-";" de";"+";"+";"-";"+";"-";"+";"§tirer§un maximum de "
"912";"+";"-";"-";"<E>";" tirer";"-";"une";" morale";"-";" de";"-";"+";"-";"+";"-";"+";"§tirer§une morale de "
"913";"+";"-";"-";"<E>";" tirer";"-";"un";" mot";"-";" de";"+";"-";"-";"-";"-";"+";"§tirer§un mot de "
"914";"-";"+";"-";"<E>";" tirer";"-";"une";" plainte";"-";" de";"+";"-";"+";"-";"-";"+";"§tirer§une plainte de "
"915";"-";"+";"-";"<E>";" tirer";"-";"des";" pleurs";"-";" de";"+";"-";"+";"-";"-";"+";"§tirer§des pleurs de "
"916";"+";"-";"-";"<E>";" tirer";"-";"un";" trait";"-";" sur";"-";"+";"-";"-";"+";"+";"§tirer§un trait sur "
"917";"+";"-";"-";"<E>";" tirer";"-";"un";" trait définitif";"-";" sur";"-";"+";"-";"-";"+";"+";"§tirer§un trait définitif sur "
"918";"+";"+";"-";"<E>";" tisser";"-";"des";" liens";"-";" avec";"+";"-";"-";"-";"-";"+";"§tisser§des liens avec "
"919";"+";"-";"-";"<E>";" tracer";"-";"un certain";" tableau";"-";" à";"+";"-";"+";"-";"-";"+";"§tracer§un certain tableau à "
"920";"+";"-";"-";"<E>";" tramer";"-";"un";" attentat";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§un attentat contre "
"921";"+";"-";"-";"<E>";" tramer";"-";"une";" cabbale";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§une cabbale contre "
"922";"+";"-";"-";"<E>";" tramer";"-";"un";" complot";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§un complot contre "
"923";"+";"-";"-";"<E>";" tramer";"-";"un";" coup d'état";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§un coup d'état contre "
"924";"+";"-";"-";"<E>";" tramer";"-";"une";" intrigue";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§une intrigue contre "
"925";"+";"-";"-";"<E>";" tramer";"-";"une";" révolte";"+";" contre";"+";"-";"-";"-";"-";"+";"§tramer§une révolte contre "
"926";"+";"-";"-";"<E>";" transmettre";"-";"un";" flambeau";"+";" à";"+";"-";"+";"-";"-";"+";"§transmettre§un flambeau à "
"927";"+";"-";"-";"<E>";" transmettre";"-";"un";" héritage";"+";" à";"+";"-";"+";"-";"-";"+";"§transmettre§un héritage à "
"928";"+";"-";"-";"<E>";" tresser";"-";"une";" couronne";"-";" à";"+";"-";"+";"-";"-";"+";"§tresser§une couronne à "
"929";"+";"-";"-";"<E>";" tresser";"-";"un";" lien";"-";" avec";"+";"-";"-";"-";"-";"+";"§tresser§un lien avec "
"930";"+";"-";"-";"<E>";" trouver";"-";"un";" terrain d'entente";"-";" avec";"+";"-";"-";"-";"-";"+";"§trouver§un terrain d'entente avec "
"931";"-";"+";"-";"<E>";" valoir";"-";"une certaine";" réputation";"-";" à";"+";"-";"+";"-";"-";"-";"§valoir§une certaine réputation à "
"932";"+";"-";"-";"<E>";" verser";"-";"une";" larme";"+";" sur";"+";"+";"-";"-";"-";"+";"§verser§une larme sur "
"933";"+";"-";"-";"<E>";" verser";"-";"des";" larmes de crocodile";"+";" sur";"+";"+";"-";"-";"-";"+";"§verser§des larmes de crocodile sur "
"934";"+";"-";"-";"<E>";" verser";"-";"des";" pleurs";"+";" sur";"+";"+";"-";"-";"-";"+";"§verser§des pleurs sur "
"935";"+";"-";"-";"<E>";" voler";"-";"un";" baiser";"-";" à";"+";"-";"+";"-";"-";"+";"§voler§un baiser à "
"936";"+";"-";"-";"<E>";" vouer";"-";"un";" culte";"-";" à";"+";"-";"+";"-";"-";"+";"§vouer§un culte à "
"937";"+";"-";"-";"<E>";" vouloir";"-";"du";" bien";"-";" à";"+";"-";"+";"-";"-";"-";"§vouloir§du bien à "
"938";"+";"-";"-";"<E>";" vouloir";"-";"du";" mal";"-";" à";"+";"-";"+";"-";"-";"-";"§vouloir§du mal à "

