"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"GN =: le N";"il y avoir Det1 C1 W"
"98";"faire";"le";"imbécile";"+";"-";"-";"-";"-"
"99";"faire";"le";"important";"+";"-";"-";"-";"-"
"100";"faire";"le";"impossible";"+";"-";"-";"-";"-"
"101";"faire";"de le";"inédit";"+";"-";"-";"+";"+"
"102";"faire";"le";"innocent";"+";"-";"-";"-";"-"
"103";"faire";"le";"intéressant";"+";"-";"-";"-";"-"
"104";"faire";"le";"jacques";"+";"-";"-";"-";"-"
"105";"faire";"du";"jamais vu";"+";"-";"-";"+";"+"
"106";"faire";"la";"jauge";"+";"-";"-";"-";"-"
"107";"faire";"Poss0";"jeux";"+";"-";"-";"-";"-"
"108";"faire";"<E>";"jurisprudence";"-";"+";"-";"-";"-"
"109";"faire";"le";"larbin";"+";"-";"-";"-";"-"
"110";"faire";"du";"lard";"+";"-";"-";"-";"-"
"111";"faire";"poids";"le";"+";"+";"-";"-";"-"
"112";"faire";"le";"lézard";"+";"-";"-";"-";"-"
"113";"faire";"<E>";"loi";"-";"+";"-";"-";"-"
"114";"faire";"<E>";"machine arrière";"+";"+";"-";"-";"-"
"115";"faire";"<E>";"maigre";"+";"-";"-";"-";"-"
"116";"faire";"le";"mal";"+";"-";"-";"+";"+"
"117";"faire";"le";"malade";"+";"-";"-";"-";"-"
"118";"faire";"un";"malheur";"+";"+";"-";"-";"-"
"119";"faire";"le";"malin";"+";"-";"-";"-";"-"
"120";"faire";"Poss0";"malle";"+";"-";"-";"-";"-"
"121";"faire";"la";"manche";"+";"-";"-";"+";"-"
"122";"faire";"le";"maquignon";"+";"-";"-";"-";"-"
"123";"faire";"le";"mariole";"+";"-";"-";"-";"-"
"124";"faire";"la";"marmotte";"+";"-";"-";"-";"-"
"125";"faire";"un";"massacre";"+";"+";"-";"-";"-"
"126";"faire";"<E>";"masse";"+";"+";"-";"-";"-"
"127";"faire";"le";"matamore";"+";"-";"-";"-";"-"
"128";"faire";"le";"maximum";"+";"-";"-";"-";"-"
"129";"faire";"le";"méchant";"+";"-";"-";"-";"-"
"130";"faire";"Poss0";"médecine";"+";"-";"-";"-";"-"
"131";"faire";"<E>";"médianoche";"+";"-";"-";"-";"-"
"132";"faire";"la";"méridienne";"+";"-";"-";"+";"+"
"133";"faire";"<E>";"merveille";"+";"+";"+";"-";"-"
"134";"faire";"Poss0";"métier";"+";"-";"-";"-";"-"
"135";"faire";"la";"mode";"+";"+";"-";"-";"-"
"136";"faire";"de la";"monnaie";"+";"-";"-";"-";"+"
"137";"faire";"le";"mort";"+";"-";"-";"-";"-"
"138";"faire";"le";"mort";"+";"-";"-";"-";"-"
"139";"faire";"<E>";"mouche";"+";"+";"-";"-";"-"
"140";"faire";"le";"mouton";"+";"-";"-";"-";"-"
"141";"faire";"le";"mur";"+";"-";"-";"+";"-"
"142";"faire";"le";"mystérieux";"+";"-";"-";"-";"-"
"143";"faire";"le";"nécessaire";"+";"-";"-";"-";"-"
"144";"faire";"du";"neuf";"+";"-";"-";"+";"+"
"145";"faire";"Poss0";"nid";"+";"-";"-";"-";"-"
"146";"faire";"la";"noce";"+";"-";"-";"+";"-"
"147";"faire";"<E>";"nombre";"+";"-";"-";"-";"-"
"148";"faire";"le";"nombre";"-";"+";"-";"-";"+"
"149";"faire";"Poss0";"oeuvre";"-";"+";"-";"-";"-"
"150";"faire";"Poss0";"office";"+";"+";"-";"-";"-"
"151";"faire";"<E>";"oraison";"+";"-";"-";"-";"-"
"152";"faire";"Poss0";"orges";"+";"-";"-";"-";"-"
"153";"faire";"<E>";"ouf";"+";"-";"-";"-";"-"
"154";"faire";"le";"ours";"+";"-";"-";"-";"-"
"155";"faire";"la";"ouverture";"+";"-";"-";"-";"-"
"156";"faire";"le";"pantin";"+";"-";"-";"-";"-"
"157";"faire";"le";"paon";"+";"-";"-";"-";"-"
"158";"faire";"Poss0";"Pâques";"+";"+";"-";"-";"-"
"159";"faire";"Poss0";"paquets";"+";"-";"-";"-";"-"
"160";"faire";"Poss0";"parade";"+";"-";"-";"-";"-"
"161";"faire";"Poss0";"pelote";"+";"-";"-";"-";"-"
"162";"faire";"le";"perroquet";"+";"-";"-";"-";"-"
"163";"faire";"le";"pitre";"+";"-";"-";"-";"-"
"164";"faire";"la";"plonge";"+";"-";"-";"+";"-"
"165";"faire";"le";"polichinelle";"+";"-";"-";"-";"-"
"166";"faire";"Poss0";"possible";"+";"-";"-";"-";"-"
"167";"faire";"de la";"présence";"+";"-";"-";"+";"-"
"168";"faire";"Poss0";"preuves";"+";"+";"-";"-";"-"
"169";"faire";"<E>";"prime";"-";"+";"-";"-";"-"
"170";"faire";"la";"princesse";"+";"-";"-";"-";"-"
"171";"faire";"de la";"prison";"+";"-";"-";"+";"-"
"172";"faire";"du";"provisoire";"+";"-";"-";"-";"-"
"173";"faire";"la";"putain";"+";"-";"-";"-";"-"
"174";"faire";"le";"quart";"+";"-";"-";"+";"-"
"175";"faire";"<E>";"rampeau";"+";"-";"-";"-";"-"
"176";"faire";"<E>";"recette";"+";"+";"-";"-";"-"
"177";"faire";"Poss0";"réflexions";"+";"-";"-";"-";"-"
"178";"faire";"<E>";"relâche";"-";"+";"-";"-";"+"
"179";"faire";"<E>";"ressort";"-";"+";"-";"-";"-"
