"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Qu P";"N1 =: V0-inf W";"N1 =: V2-inf W";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"Exemple"
"220";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"reproche";"de";"-";"+";"+";"+";"-";"+";"§fait§à reproche de "
"221";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"reproche";"de";"-";"+";"+";"+";"-";"+";"§fait§au reproche de "
"222";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"tout un";"sac";"de";"-";"+";"+";"+";"-";"+";"§fait§à tout un sac de "
"223";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"toute une";"salade";"de";"-";"+";"+";"+";"-";"+";"§fait§à toute une salade de "
"224";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"serment";"de";"-";"-";"-";"+";"+";"-";"§fait§au serment de "
"225";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"serment";"de";"-";"-";"-";"+";"+";"-";"§fait§à serment de "
"226";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"signe";"<E>";"-";"-";"+";"+";"-";"+";"§fait§à signe "
"227";"+";"-";"-";"-";"-";"-";"<E>";" faire";"auprès de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"tentative";"pour";"-";"+";"+";"-";"+";"-";"§fait§auprès d'une tentative pour "
"228";"+";"-";"-";"-";"-";"-";"<E>";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"valoir";"<E>";"-";"+";"+";"-";"-";"-";"§fait§à valoir "
"229";"+";"-";"-";"-";"-";"+";"ne";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"injure";"de";"-";"-";"-";"-";"+";"-";"§ne fait§à l'injure de "
"230";"+";"-";"-";"-";"-";"+";"ne";" faire";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"insulte";"de";"-";"-";"-";"-";"+";"-";"§ne fait§à l'insulte de "
"231";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"Poss0";"compte";"-";"-";"-";"-";"-";"<E>";"<E>";"Advm";"pour";"-";"-";"-";"+";"+";"-";"§fait§son compte Advm pour "
"232";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"Poss0";"compte";"-";"-";"-";"-";"-";"<E>";"<E>";"comment ?";"pour";"-";"-";"-";"+";"+";"-";"§fait§son compte comment ? pour "
"233";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"Poss0";"compte";"-";"-";"-";"-";"-";"<E>";"<E>";"comment ?";"pour";"-";"-";"-";"+";"+";"-";"§fait§son compte comment ? pour "
"234";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"Poss0";"compte";"-";"-";"-";"-";"-";"de";"quelle";"façon ?";"pour";"-";"-";"-";"+";"+";"-";"§fait§son compte de quelle façon ? pour "
"235";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"Poss0";"compte";"-";"-";"-";"-";"-";"de";"quelle";"manière ?";"pour";"-";"-";"-";"+";"+";"-";"§fait§son compte de quelle manière ? pour "
"236";"+";"+";"+";"-";"-";"-";"<E>";" faire";"à";"Poss0";"personnage";"-";"-";"-";"-";"-";"<E>";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"+";"§fait§à son personnage dire "
"237";"+";"-";"-";"-";"-";"-";"<E>";" faire";"de";"les";"pieds";"-";"-";"-";"-";"-";"et de";"les";"mains";"pour";"+";"+";"-";"+";"+";"-";"§fait§des pieds et des mains pour "
"238";"+";"+";"+";"-";"-";"-";"<E>";" faire";"<E>";"la";"preuve";"-";"-";"-";"-";"-";"par";"<E>";"neuf";"<E>";"-";"+";"+";"-";"+";"-";"§fait§la preuve par neuf "
"239";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"quoi ?";"-";"-";"-";"-";"-";"à";"le bon";"dieu";"pour";"-";"-";"-";"+";"+";"-";"§fait§quoi ? au bon dieu pour "
"240";"+";"-";"-";"-";"-";"+";"ne";" faire";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"de";"<E>";"autre";"<E>";"-";"+";"-";"-";"+";"-";"§ne fait§rien d'autre "
"241";"+";"-";"-";"-";"-";"+";"ne";" faire";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"de";"<E>";"mieux";"<E>";"-";"+";"-";"-";"+";"-";"§ne fait§rien de mieux "
"242";"+";"-";"-";"-";"-";"+";"ne";" faire";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"de";"<E>";"moins";"<E>";"-";"+";"-";"-";"+";"-";"§ne fait§rien de moins "
"243";"+";"-";"-";"-";"-";"+";"ne";" faire";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"<E>";"<E>";"moins";"<E>";"-";"+";"-";"-";"+";"-";"§ne fait§rien moins "
"244";"+";"-";"-";"-";"-";"+";"ne";" faire";"<E>";"<E>";"rien";"-";"-";"-";"-";"-";"de";"<E>";"plus";"<E>";"-";"+";"-";"-";"+";"-";"§ne fait§rien de plus "
"245";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"<E>";"tant";"-";"-";"-";"-";"-";"et";"si";"bien";"<E>";"-";"-";"+";"-";"-";"-";"§fait§tant et si bien "
"246";"+";"-";"-";"-";"-";"-";"<E>";" faire";"<E>";"des";"tours";"-";"-";"-";"-";"-";"et";"des";"détours";"pour";"-";"-";"+";"-";"+";"-";"§fait§des tours et des détours pour "
"247";"+";"-";"-";"+";"-";"+";"ne se";" faire pas";"<E>";"<E>";"dire";"-";"-";"-";"-";"-";"<E>";"deux";"fois";"<E>";"-";"+";"+";"-";"+";"-";"§ne  -----"
"248";"+";"-";"-";"-";"-";"-";"<E>";" fiche";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Poss0";"billet";"<E>";"-";"-";"+";"-";"-";"-";"§fiche§à son billet "
"249";"-";"+";"+";"-";"-";"-";"<E>";" fonder";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§fonder§à dire "
"250";"-";"+";"+";"-";"-";"-";"<E>";" fonder";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"en";"<E>";"droit";"à";"-";"-";"+";"-";"+";"-";"§fonder§en droit à "
"251";"+";"+";"+";"-";"-";"-";"<E>";" fournir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"matière";"à";"-";"+";"-";"+";"-";"+";"§fournir§à matière à "
"252";"+";"+";"+";"-";"-";"-";"<E>";" fournir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"preuve";"de";"-";"+";"+";"-";"-";"-";"§fournir§à la preuve de "
"253";"+";"+";"+";"-";"-";"-";"<E>";" gâcher";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"envie";"de";"-";"+";"+";"+";"-";"+";"§gâcher§à l'envie de "
"254";"+";"+";"+";"-";"-";"-";"<E>";" gâcher";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"plaisir";"de";"-";"+";"+";"+";"-";"+";"§gâcher§au plaisir de "
"255";"+";"-";"-";"-";"-";"-";"<E>";" garder";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rancune";"de";"-";"+";"+";"-";"-";"+";"§garder§à rancune de "
"256";"+";"-";"-";"-";"-";"-";"<E>";" garder";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rancune";"de";"-";"+";"+";"-";"-";"+";"§garder§à rancune de "
"257";"+";"+";"+";"-";"-";"-";"<E>";" gâter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"envie";"de";"-";"+";"+";"+";"-";"+";"§gâter§à l'envie de "
"258";"+";"+";"+";"-";"-";"-";"<E>";" gâter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"plaisir";"de";"-";"+";"+";"+";"-";"+";"§gâter§au plaisir de "
"259";"+";"-";"-";"-";"-";"-";"<E>";" intimer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"ordre";"de";"-";"-";"-";"+";"-";"+";"§intimer§à l'ordre de "
"260";"+";"-";"-";"-";"-";"-";"<E>";" jeter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"os";"pour";"-";"-";"-";"+";"+";"-";"§jeter§à un os pour "
"261";"+";"-";"-";"-";"-";"-";"<E>";" joindre";"<E>";"Poss0";"voix";"-";"-";"-";"-";"-";"à";"la";"voix de Nhum";"pour";"-";"-";"-";"+";"+";"-";"§joindre§sa voix à la voix de Nhum pour "
"262";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"à";"<E>";"pile";"-";"-";"-";"-";"-";"ou";"<E>";"face";"<E>";"-";"+";"-";"+";"+";"-";"§jouer§à pile ou face "
"263";"+";"-";"-";"-";"-";"-";"<E>";" jouer";"à";"<E>";"quitte";"-";"-";"-";"-";"-";"ou";"<E>";"double";"<E>";"-";"+";"-";"+";"+";"-";"§jouer§à quitte ou double "
"264";"+";"+";"+";"-";"-";"-";"<E>";" laisser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"croire";"<E>";"-";"+";"+";"-";"-";"-";"§laisser§à croire "
"265";"+";"+";"+";"-";"-";"-";"<E>";" laisser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"entendre";"<E>";"-";"+";"+";"-";"-";"-";"§laisser§à entendre "
"266";"+";"+";"+";"-";"-";"-";"<E>";" laisser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"espérer";"<E>";"-";"-";"+";"-";"-";"+";"§laisser§à espérer "
"267";"+";"+";"+";"-";"-";"-";"<E>";" laisser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"penser";"<E>";"-";"+";"+";"-";"-";"-";"§laisser§à à penser "
"268";"+";"+";"+";"-";"-";"-";"<E>";" laisser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"soin";"<E>";"-";"-";"+";"-";"-";"+";"§laisser§au soin "
"269";"+";"-";"-";"-";"-";"-";"<E>";" laisser";"<E>";"<E>";"tout";"-";"-";"-";"-";"-";"en";"<E>";"plan";"pour";"+";"+";"-";"+";"+";"-";"§laisser§tout en plan pour "
"270";"+";"+";"+";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"le";"courant";"de";"-";"+";"+";"-";"-";"-";"§mettre§au courant de "
"271";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"le";"défi";"de";"-";"-";"-";"+";"-";"+";"§mettre§au défi de "
"272";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"en";"<E>";"demeure";"de";"-";"-";"-";"+";"-";"+";"§mettre§en demeure de "
"273";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"profit";"pour";"-";"-";"-";"+";"+";"-";"§mettre§à profit pour "
"274";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Poss0";"main";"-";"-";"-";"-";"-";"à";"<E>";"couper";"de";"-";"-";"+";"-";"-";"-";"§mettre§sa main à couper de "
"275";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Poss0";"main";"-";"-";"-";"-";"-";"à";"le";"feu";"de";"-";"-";"+";"-";"-";"-";"§mettre§sa main au feu de "
"276";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"noir";"-";"-";"-";"-";"-";"sur";"<E>";"blanc";"<E>";"-";"+";"+";"-";"+";"-";"§mettre§noir sur blanc "
"277";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Poss0";"queue";"-";"-";"-";"-";"-";"à";"<E>";"couper";"de";"-";"-";"+";"-";"-";"-";"§mettre§sa queue à couper de "
"278";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Poss0";"tête";"-";"-";"-";"-";"-";"sur";"le";"billot";"de";"-";"-";"+";"-";"-";"-";"§mettre§sa tête sur le billot de "
"279";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"Poss0";"tête";"-";"-";"-";"-";"-";"à";"<E>";"couper";"de";"-";"-";"+";"-";"-";"-";"§mettre§sa tête à couper de "
"280";"+";"-";"-";"-";"-";"-";"<E>";" mettre";"<E>";"<E>";"tout";"-";"-";"-";"-";"-";"en";"<E>";"oeuvre";"pour";"+";"+";"-";"+";"+";"-";"§mettre§tout en oeuvre pour "
"281";"+";"-";"-";"+";"-";"-";"se";" moquer";"de";"le";"tiers";"-";"-";"-";"-";"-";"comme";"du";"quart";"de";"+";"+";"-";"+";"+";"-";"§se moquer§du tiers comme du quart de "
"282";"+";"-";"-";"-";"-";"-";"<E>";" obtenir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"confirmation";"de";"-";"+";"+";"-";"+";"-";"§obtenir§de confirmation de "
"283";"+";"-";"-";"-";"-";"-";"<E>";" obtenir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"quittance";"de";"-";"+";"+";"-";"+";"-";"§obtenir§de quittance de "
"284";"+";"-";"-";"-";"-";"-";"<E>";" obtenir";"de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"réparation";"de";"-";"+";"+";"-";"+";"-";"§obtenir§de réparation de "
"285";"+";"-";"-";"-";"-";"-";"<E>";" oser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"affirmer";"<E>";"-";"+";"+";"-";"+";"-";"§oser§à affirmer "
"286";"+";"-";"-";"-";"-";"-";"<E>";" oser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"assurer";"<E>";"-";"+";"+";"-";"+";"-";"§oser§à assurer "
"287";"+";"-";"-";"-";"-";"-";"<E>";" ouïr";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"dire";"<E>";"-";"+";"+";"-";"-";"-";"§ouïr§à dire "
"288";"+";"+";"+";"-";"-";"-";"<E>";" ouvrir";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"Poss0";"coeur";"de";"-";"+";"+";"-";"+";"-";"§ouvrir§à son coeur de "
"289";"+";"-";"-";"-";"-";"-";"<E>";" parier";"avec";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"Dnum";"contre un";"<E>";"-";"+";"+";"-";"+";"-";"§parier§avec à Dnum contre un "
"290";"+";"-";"-";"-";"-";"-";"<E>";" parler";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"sur";"un certain";"ton";"de";"-";"+";"+";"-";"-";"+";"§parler§à sur un certain ton de "
"291";"+";"+";"+";"-";"-";"-";"<E>";" passer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"envie";"de";"-";"-";"-";"-";"-";"+";"§passer§à l'envie de "
"292";"+";"+";"+";"-";"-";"-";"<E>";" passer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"goût";"de";"-";"-";"-";"-";"-";"+";"§passer§au goût de "
"293";"+";"-";"-";"-";"-";"-";"<E>";" passer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"mot";"<E>";"-";"-";"+";"-";"-";"-";"§passer§au mot "
"294";"+";"-";"-";"-";"-";"-";"<E>";" passer";"<E>";"<E>";"maître";"+";"-";"-";"-";"-";"dans";"le";"art";"de";"-";"-";"-";"-";"+";"-";"§passer§maître dans l'art de "
"295";"+";"-";"-";"-";"-";"-";"<E>";" passer";"à";"les";"pertes";"-";"-";"-";"-";"-";"et";"<E>";"profits";"<E>";"-";"+";"+";"-";"+";"-";"§passer§aux pertes et profits "
"296";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"argent dingue";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un argent dingue pour "
"297";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"argent fou";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un argent fou pour "
"298";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"bagatelle de Nsomme";"pour";"-";"+";"-";"+";"+";"-";"§payer§à la bagatelle de Nsomme pour "
"299";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"bagatelle de dix yen";"pour";"-";"+";"-";"+";"+";"-";"§payer§à la bagatelle de dix yen pour "
"300";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"chaud";"pour";"-";"+";"-";"+";"+";"-";"§payer§à chaud pour "
"301";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"cher";"pour";"-";"+";"-";"+";"+";"-";"§payer§à cher pour "
"302";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"cuir et cheveux";"pour";"-";"+";"-";"+";"+";"-";"§payer§à cuir et cheveux pour "
"303";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"cuir et poils";"pour";"-";"+";"-";"+";"+";"-";"§payer§à cuir et poils pour "
"304";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"des";"espèces sonnantes et trébuchantes";"pour";"-";"+";"-";"+";"+";"-";"§payer§à des espèces sonnantes et trébuchantes pour "
"305";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"fortune";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une fortune pour "
"306";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une petite";"fortune";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une petite fortune pour "
"307";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"zéro";"francs zéro centimes";"pour";"-";"+";"-";"+";"+";"-";"§payer§à zéro francs zéro centimes pour "
"308";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"livre de chair";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une livre de chair pour "
"309";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"max";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un max pour "
"310";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"maximum";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un maximum pour "
"311";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"des";"mille et des cents";"pour";"-";"+";"-";"+";"+";"-";"§payer§à des mille et des cents pour "
"312";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"montagne d'or";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une montagne d'or pour "
"313";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"paquet";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un paquet pour "
"314";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"peau des fesses";"pour";"-";"+";"-";"+";"+";"-";"§payer§à la peau des fesses pour "
"315";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"la";"peau du cul";"pour";"-";"+";"-";"+";"+";"-";"§payer§à la peau du cul pour "
"316";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un certain";"prix";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un certain prix pour "
"317";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"prix fort";"pour";"-";"+";"-";"+";"+";"-";"§payer§au prix fort pour "
"318";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"moins que";"rien";"pour";"-";"+";"-";"+";"+";"-";"§payer§à moins que rien pour "
"319";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une certaine";"somme";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une certaine somme pour "
"320";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"somme dingue";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une somme dingue pour "
"321";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"une";"somme folle";"pour";"-";"+";"-";"+";"+";"-";"§payer§à une somme folle pour "
"322";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"sous";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un sous pour "
"323";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"six";"sous";"pour";"-";"+";"-";"+";"+";"-";"§payer§à six sous pour "
"324";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"quatre";"sous";"pour";"-";"+";"-";"+";"+";"-";"§payer§à quatre sous pour "
"325";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"trois quatre";"sous";"pour";"-";"+";"-";"+";"+";"-";"§payer§à trois quatre sous pour "
"326";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"trois";"sous";"pour";"-";"+";"-";"+";"+";"-";"§payer§à trois sous pour "
"327";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"tant";"pour";"-";"+";"-";"+";"+";"-";"§payer§à tant pour "
"328";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"tas d'or";"pour";"-";"+";"-";"+";"+";"-";"§payer§à un tas d'or pour "
"329";"+";"-";"-";"-";"-";"-";"<E>";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"les";"yeux de la tête";"pour";"-";"+";"-";"+";"+";"-";"§payer§aux yeux de la tête pour "
"330";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"centime";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à un centime pour "
"331";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"clou";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à un clou pour "
"332";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"fifrelin";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à un fifrelin pour "
"333";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"gras";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à gras pour "
"334";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"gros";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à gros pour "
"335";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"lerche";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à lerche pour "
"336";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"pet de lapin";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à un pet de lapin pour "
"337";"+";"-";"-";"-";"-";"+";"ne";" payer";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"un";"sou";"pour";"-";"+";"-";"+";"+";"-";"§ne payer§à un sou pour "
"338";"+";"-";"-";"-";"-";"-";"<E>";" perdre";"<E>";"le";"boire";"-";"-";"-";"-";"-";"et";"le";"manger";"de";"-";"-";"+";"+";"+";"-";"§perdre§le boire et le manger de "
"339";"+";"-";"-";"+";"-";"-";"se";" porter";"auprès de";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"garant";"de";"+";"+";"+";"-";"-";"-";"§se porter§auprès de garant de "
"340";"-";"+";"+";"-";"-";"-";"<E>";" porter";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"à";"<E>";"croire";"<E>";"+";"+";"+";"-";"-";"-";"§porter§à croire "
"341";"+";"-";"-";"-";"-";"-";"<E>";" porter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rancune";"de";"-";"+";"+";"-";"-";"+";"§porter§à rancune de "
"342";"+";"-";"-";"-";"-";"-";"<E>";" porter";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"<E>";"rigueur";"de";"-";"+";"+";"-";"-";"+";"§porter§à rigueur de "
"343";"+";"-";"-";"-";"-";"-";"<E>";" poser";"à";"<E>";"<E>";"+";"-";"-";"-";"-";"<E>";"le";"problème";"de";"+";"+";"+";"+";"-";"+";"§poser§au problème de "
"344";"+";"-";"-";"-";"-";"-";"<E>";" pouvoir";"<E>";"<E>";"être";"-";"-";"-";"-";"-";"<E>";"<E>";"tranquille";"<E>";"-";"-";"+";"-";"-";"-";"§pouvoir§est tranquille "
