;"Propriété"
"LGLex";"table";"C_31i";"C_a1";"C_a12";"C_a1p2";"C_a1pn";"C_anp2";"C_c0";"C_c0e";"C_c0q";"C_c1d";"C_c1dpn";"C_c1g";"C_c1gpn";"C_c1i";"C_c1ipn";"C_c1p2";"C_c1r";"C_c1rpn";"C_c5";"C_c5c1";"C_c6";"C_c7";"C_c8";"C_cadv";"C_can";"C_cdn";"C_cff";"C_cnp2";"C_cp1";"C_cpn";"C_cpp";"C_cppn";"C_cppq";"C_cpq";"C_cv";"C_e01";"C_e0p1";"C_e1";"C_e1hc";"C_e1pn";"C_eapc";"C_ec0";"C_edn";"C_enpc";"C_epa";"C_epac";"C_epc";"C_epca";"C_epcdc";"C_epcdn";"C_epcpc";"C_epcpn";"C_epcpq";"C_epdetc";"C_fc";"C_fca";"C_fcan";"C_fcana";"C_fcann";"C_fcn";"C_fcpn";"C_fcpna";"C_fcpnn";"C_ya";"C_z5d";"C_z5p";"C_z1";"C_zs";"C_zd";"C_zp";"C_zm";"C_z";"C_zcdn";"C_ztcdn";"C_zmc";"C_zmac";"C_zmca";"C_zmcdc";"C_zc";"C_zac";"C_zca";"C_zcdc";"C_ztc";"C_ztac";"C_ztca";"C_ztcd"
"?";"C1 = Adj1 C1";"/";"o";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"o";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 = C1 Adj1";"/";"o";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"o";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: C1 Qu Pind";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"o";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: C1 Qu Psubj";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"o";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: C1 de N-hum";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"-";"/";"?";"?";"/";"?";"o";"o";"/";"?";"o";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: C1 de Nhum";"/";"?";"?";"?";"?";"/";"o";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"o";"-";"/";"?";"?";"/";"?";"o";"o";"/";"?";"o";"?";"?";"?";"?";"?";"/";"o";"?";"?";"?";"/";"o";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: C1 de V2-inf W";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"o";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: Npc";"/";"?";"?";"o";"o";"/";"o";"?";"?";"o";"?";"o";"?";"o";"?";"o";"o";"?";"o";"o";"/";"?";"?";"/";"o";"?";"?";"/";"?";"?";"o";"?";"?";"?";"?";"/";"o";"?";"?";"?";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C1 =: Npc0";"/";"?";"o";"?";"?";"/";"?";"?";"?";"?";"o";"?";"o";"?";"o";"?";"?";"o";"?";"?";"/";"o";"o";"/";"?";"o";"?";"/";"o";"o";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"?";"C1 de Nhum = Ppv-C1 =: lui-C1";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"o";"-";"/";"?";"?";"/";"o";"?";"?";"/";"?";"o";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"C2 =: C2 de Nhum";"/";"/";"/";"?";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"?";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"C2 =: Npc";"/";"/";"/";"o";"/";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"?";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"C2 =: Npc0";"/";"/";"/";"?";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"o";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"C2 de Nhum = Ppv-C2 =: lui-C2";"/";"/";"/";"?";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"o";"/";"/";"/";"/";"o";"/";"/";"/";"/";"/";"/";"?";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Ce être Prép1 Det1 C1 Prép2 Det2 C2";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"+";"?";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"o";"?";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Conj (Det0 C0+N0) V (Det1 C1+N1) Conj-2 Det0-2 C0-2 V-2 Det1-2 C1-2";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"++";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Conj Prép0 Det0 C0 Prép1 (Det1 C1+N1) Prép2 N2";"/";"/";"/";"/";"/";"/";"?";"++";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Det0 C0 V Prép1 (Det1 C1+N1) Prép2 N2";"/";"/";"/";"/";"/";"/";"++";"?";"++";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Det0 C0 être Adj1";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"++";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"C";"Det0 C0 être Prép1 Det1 C1";"/";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"++";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"Det0 pluriel";"/";"/";"/";"/";"/";"/";"?";"?";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"?";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"Det1 =: Dind";"/";"?";"o";"?";"?";"/";"?";"?";"?";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"Det1 =: déf";"/";"?";"?";"?";"?";"/";"?";"?";"?";"+";"+";"/";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"Det1 =: indéf";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"/";"/";"+";"+";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"?";"?";"/";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"Det1 C1 de N2 = Poss C1";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"o";"?";"o";"?";"/";"/";"o";"o";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/";"/"
"?";"Det1 C1 de Nc = Poss C1";"/";"?";"?";"?";"?";"/";"?";"?";"?";"?";"?";"/";"/";"?";"?";"?";"?";"?";"o";"-";"/";"?";"?";"/";"o";"o";"?";"/";"?";"o";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"o";"/";"/";"?";"/";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"Det1 pluriel";"/";"?";"o";"o";"?";"/";"?";"?";"?";"?";"?";"/";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"/";"?";"?";"?";"/";"?";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"?";"/";"?";"?";"?";"/";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"E";"Exemple";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"GN =: le N";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"Modif =: constant";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"?";"Modif =: exact";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"?";"Modif =: plein";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"?";"Modif =: total";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"D0";"N0 =: N-hum";"?";"o";"o";"o";"o";"o";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"?";"o";"?";"o";"o";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"D0";"N0 =: Nhum";"?";"o";"o";"o";"o";"o";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"?";"o";"+";"o";"o";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"O";"O";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o"
"D0";"N0 =: Nnc";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"D0";"N0 =: Nnr";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"O";"O";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"?";"N0 =: Npc";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"D0";"N0 =: Qu P";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"+";"+";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"o";"?";"?";"o";"?";"?";"?";"o";"o";"o";"o";"o";"o";"o";"o";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"T";"N0 =: Qu Pind extrap";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"N0 =: Qu Psubj extrap";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"N0 =: de V1c-inf W extrap";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"N0 =: de V2-inf W extrap";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"T";"N0 =: de V2c-inf W extrap";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"D0";"N0 =: le fait Qu P";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"O";"O";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"C";"N0 Ppv V";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"C";"N0 V";"?";"?";"?";"?";"?";"?";"?";"?";"?";"o";"?";"o";"?";"o";"?";"o";"o";"?";"?";"?";"?";"?";"?";"/";"?";"?";"?";"/";"?";"?";"o";"?";"?";"?";"o";"/";"?";"?";"?";"?";"/";"?";"?";"/";"/";"?";"/";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
